Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04333550	Application of Desferal to Treat COVID-19		Recruiting	No Results Available	COVID-19	Drug: Deferoxamine	Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay	Kermanshah University of Medical Sciences	All	3 Years to 99 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	1398.1224	April 2020	September 2020	March 2021	April 3, 2020		April 6, 2020	Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04333550
2	NCT04336904	Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19		Active, not recruiting	No Results Available	COVID-19	Drug: Favipiravir|Other: Placebo	Time from randomization to clinical recovery|Time from randomization to negativity in RT-PCR nucleic acid test|Incidence of deterioration/aggravation of pneumonia|Time from randomization to resolution of pyrexia|Time from randomization to relief of cough|Time from randomization to relief of dyspnoea|Rate of auxiliary oxygen therapy|ICU admission rate|Mortality	Giuliano Rizzardini|ASST Fatebenefratelli Sacco	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 3	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment	HS216C17-PHASE III	March 25, 2020	July 2020	July 2020	April 7, 2020		April 8, 2020	Asst Fatebenefratelli Sacco, Milano, Italy		https://ClinicalTrials.gov/show/NCT04336904
3	NCT04351802	CORonavirus (COVID-19) Diagnostic Lung UltraSound Study	COR-DLUS	Not yet recruiting	No Results Available	COVID-19	Diagnostic Test: Lung ultrasound	Diagnosis of COVID-19 on lung ultrasound|Difference in diagnosis of COVID-19 on lung ultrasound vs. chest x-ray|Diagnosis of alternative condition to COVID-19 on lung ultrasound vs. chest x-ray|Ability of surveillance lung ultrasound to predict clinical trajectory / outcome in patients with COVID-19|Consistency of lung ultrasound interpretation in patients presenting with suspected COVID-19	University Hospital Plymouth NHS Trust	All	18 Years and older   (Adult, Older Adult)		180	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	282661	April 20, 2020	January 20, 2021	January 20, 2021	April 17, 2020		April 17, 2020			https://ClinicalTrials.gov/show/NCT04351802
4	NCT04345445	Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression		Not yet recruiting	No Results Available	COVID-19	Drug: Tocilizumab|Drug: Methylprednisolone	The proportion of patients requiring mechanical ventilation|Mean days of ventilation|The proportion of patients requiring ICU admission|Overall 28-day survival|Change in symptom severity assessed by the World Health Organization (WHO) Coronavirus Disease 2019 (COVID19) ordinal scale measured daily up to 7 days from baseline|Duration of hospital and ICU stay	University of Malaya	All	18 Years and older   (Adult, Older Adult)	Phase 3	310	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TVCS-COVID19	April 15, 2020	October 31, 2020	October 31, 2020	April 14, 2020		April 14, 2020	University Malaya Medical Centre, Kuala Lumpur, Malaysia		https://ClinicalTrials.gov/show/NCT04345445
5	NCT04331509	COVID-19 Symptom Tracker		Recruiting	No Results Available	COVID-19	Other: No Intervention	Physical health symptoms|Lack of physical health symptoms|Fever	King's College London|Zoe Global Limited|Massachusetts General Hospital|Harvard School of Public Health|Stanford University	All	18 Years and older   (Adult, Older Adult)		10000000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVID-19 Symptom tracker	March 23, 2020	March 23, 2022	March 23, 2022	April 2, 2020		April 7, 2020	Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04331509
6	NCT04347915	The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Clevudine|Drug: Hydroxychloroquine	The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2)|The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2) in consecutive two days of Real-Time RT-PCR tests|The rate of subjects indicated by the improvement of lung invasive|The change of viral load	Bukwang Pharmaceutical	All	19 Years and older   (Adult, Older Adult)	Phase 2	60	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BK-CLV-201	April 24, 2020	September 30, 2020	December 31, 2020	April 15, 2020		April 17, 2020			https://ClinicalTrials.gov/show/NCT04347915
7	NCT04343183	Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection		Not yet recruiting	No Results Available	COVID-19	Device: Hyperbaric Oxygen Therapy	Decrease incidence of intubation by 30% or greater|Decrease renal injury	Ochsner Health System	All	18 Years and older   (Adult, Older Adult)	Not Applicable	48	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	STUDY00001051	April 2020	June 2020	June 2020	April 13, 2020		April 13, 2020	Ochsner Medical Center, New Orleans, Louisiana, United States		https://ClinicalTrials.gov/show/NCT04343183
8	NCT04342637	COVID-19 Endoscopy Survey	COVID-19 Endo	Not yet recruiting	No Results Available	COVID-19	Other: Practice details	Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number	Al-Azhar University	All	30 Years to 70 Years   (Adult, Older Adult)		40	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	WES-2	April 10, 2020	October 10, 2020	December 10, 2020	April 13, 2020		April 13, 2020	Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04342637
9	NCT04333407	Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.	C-19-ACS	Recruiting	No Results Available	COVID-19	Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg	All-cause mortality at 30 days after admission|Absolute change in serum troponin from admission to peak value|Discharge Rate|Intubation Rate	Imperial College London	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	3170	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20HH5868	April 3, 2020	March 30, 2021	March 30, 2021	April 3, 2020		April 9, 2020	Charing Cross Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04333407
10	NCT04291053	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Huaier Granule	Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function	Tongji Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2|Phase 3	550	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TJ-IRB20200205	April 1, 2020	August 1, 2020	September 1, 2020	March 2, 2020		March 17, 2020			https://ClinicalTrials.gov/show/NCT04291053
11	NCT04336462	Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19	COVID-19	Recruiting	No Results Available	COVID-19	Device: oxyhydrogen|Device: Oxygen	Recovery time|Clinical Symptom Remission time|fever duration|Leicester cough questionaire (LCQ)|minimum oxygen|Negative conversion rate|white blood cell(WBC)|Red blood cells(RBC)|Hemoglobin(Hb )|Platelets(PLT)|Lymphocyte count|The percentage of lymphocyte|neutrophils|C-reactive protein (CRP)|Myocardial enzyme|liver function|Renal function|Muscle enzyme	Shanghai Asclepius Meditec Inc.|Shanghai Public Health Clinical Center|Henan Provincial People's Hospital|Shenzhen Third People's Hospital|The First People's Hospital of Yunnan|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai 6th People's Hospital|Guangdong Provincial Hospital of Traditional Chinese Medicine	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	100	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	JT202002LZ	February 15, 2020	February 21, 2020	August 1, 2020	April 7, 2020		April 7, 2020	First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT04336462
12	NCT04324489	DAS181 for Severe COVID-19: Compassionate Use		Recruiting	No Results Available	COVID-19	Drug: DAS181	Improved clinical status|Return to room air|SARS-CoV-2 RNA|Discharge|Death	Renmin Hospital of Wuhan University|Ansun Biopharma, Inc.	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	4	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DAS181-SARS-CoV-2	March 6, 2020	April 25, 2020	April 30, 2020	March 27, 2020		April 2, 2020	Renmin Hospital of Wuhan University, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04324489
13	NCT04347993	A Prospective "Universal" Observational Database for COVID-19		Recruiting	No Results Available	COVID-19		Need for hospitalization|Duration of hospitalization|Need for ICU/Ventilator Support|Duration of ICU/Ventilator Support|Overall Survival	Hackensack Meridian Health|Cota Inc.	All	Child, Adult, Older Adult		5000	Other|Industry	Observational	Observational Model: Case-Only|Time Perspective: Prospective	Pro2020-0342	March 27, 2020	April 2021	April 2021	April 15, 2020		April 15, 2020	Hackensack Meridian Health - John Theurer Cancer Center, Hackensack, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04347993
