"CountryCode","geoId","Country","Date","Rt","Rt.lo.05","Rt.hi.95"
"AFG","AF","Afghanistan",2020-04-19,1.91320293621283,1.13167105890666,2.86135236380884
"AFG","AF","Afghanistan",2020-04-20,1.66031030201551,1.00376876169593,2.45115986888048
"AFG","AF","Afghanistan",2020-04-21,1.23741885812789,0.71401259516628,1.87752679114171
"AFG","AF","Afghanistan",2020-04-22,1.03163626490587,0.578561058018986,1.59080368153223
"AFG","AF","Afghanistan",2020-04-23,1.16577677590766,0.689563983762075,1.74351506067612
"AFG","AF","Afghanistan",2020-04-24,1.24406935054015,0.7521232325907,1.83665237904411
"AFG","AF","Afghanistan",2020-04-25,1.31639007053221,0.811451843145397,1.92074351563643
"AFG","AF","Afghanistan",2020-04-26,1.27811641791993,0.78785912040207,1.86489846505426
"AFG","AF","Afghanistan",2020-04-27,1.79690280856626,1.21648184606146,2.46996079464495
"AFG","AF","Afghanistan",2020-04-28,1.46785676552721,0.961210721100302,2.06208924397953
"AFG","AF","Afghanistan",2020-04-29,1.3318287735685,0.872134206748784,1.87099303780615
"AFG","AF","Afghanistan",2020-04-30,1.41626737748776,0.958796182892937,1.94675242336592
"AFG","AF","Afghanistan",2020-05-01,1.33024592660941,0.90056068297245,1.82851029576997
"AFG","AF","Afghanistan",2020-05-02,1.30807537476942,0.894012511214323,1.78664954926681
"AFG","AF","Afghanistan",2020-05-03,1.55893534282432,1.11522886680997,2.0636488083516
"AFG","AF","Afghanistan",2020-05-04,1.67471311357158,1.22572196793528,2.18131148179995
"AFG","AF","Afghanistan",2020-05-05,1.67998177403622,1.24744090244158,2.16550281560342
"AFG","AF","Afghanistan",2020-05-06,1.72134467804284,1.30428155864415,2.18608125403389
"AFG","AF","Afghanistan",2020-05-07,1.46322897531464,1.1003096307291,1.86874839093211
"AFG","AF","Afghanistan",2020-05-08,1.27673049788168,0.956200868218122,1.63540727475378
"AFG","AF","Afghanistan",2020-05-09,0.957047298640807,0.692918044206277,1.25621743140617
"AFG","AF","Afghanistan",2020-05-10,0.910893733262497,0.659502100918518,1.19563639906626
"AFG","AF","Afghanistan",2020-05-11,0.81783959522488,0.581268942627034,1.08755614442008
"AFG","AF","Afghanistan",2020-05-12,0.715690966958472,0.493499896666155,0.971711054458813
"AFG","AF","Afghanistan",2020-05-13,0.838808269635372,0.59207775774135,1.12079100743866
"AFG","AF","Afghanistan",2020-05-14,0.92154344029245,0.654975112786488,1.22546063640327
"AFG","AF","Afghanistan",2020-05-15,1.34875646890718,1.01422932246652,1.72255096334979
"AFG","AF","Afghanistan",2020-05-16,1.72995040438139,1.34448555498387,2.15551351904441
"AFG","AF","Afghanistan",2020-05-17,1.61962534372631,1.25521866876488,2.02235428400247
"AFG","AF","Afghanistan",2020-05-18,1.42931806812852,1.10452481447899,1.78864940810154
"AFG","AF","Afghanistan",2020-05-19,1.28607261730289,0.993829960390073,1.60939197300316
"AFG","AF","Afghanistan",2020-05-20,1.31338803695812,1.02883452167048,1.62662992101022
