Category,Rate,Hotwords
anger,0.5949494949494949,"[('الوطني', 288), ('للصمود', 275), ('ءلى', 249), ('السعودية', 229), ('الكويت', 221), ('حظر', 216), ('ءمريكية', 216), ('صناعة', 215), ('اليمن', 214), ('وباء', 207), ('البيت', 185), ('الصين', 182), ('الصحة', 180), ('انتشار', 176), ('ءمريكا', 159), ('حالة', 158), ('خليك', 157), ('الشعب', 149), ('دول', 145), ('بالبيت', 135)]"
disgust,0.03636363636363636,"[('الشعب', 42), ('الصين', 32), ('ءمريكا', 32), ('ءمريكية', 30), ('صناعة', 29), ('الوطني', 28), ('للصمود', 28), ('امريكا', 23), ('اليمن', 22), ('دول', 21), ('وباء', 19), ('ترامب', 17), ('الدول', 16), ('العالمية', 15), ('المفروض', 14), ('الفيروس', 14), ('الدين', 13), ('الكويت', 13), ('زايد', 13), ('الحروب', 13)]"
fear,0.0803030303030303,"[('حالة', 78), ('الوباء', 49), ('مستشفى', 38), ('حالات', 37), ('الصحة', 37), ('وفاة', 37), ('ءلى', 34), ('الءصابة', 31), ('ءصابة', 31), ('بفايروس', 29), ('وباء', 29), ('الفيروس', 27), ('اصابة', 27), ('كلنا', 26), ('مصر', 26), ('عاجل', 26), ('اللهم', 26), ('المتحدة', 24), ('مسءول', 24), ('ءلف', 24)]"
sadness,0.13623737373737374,"[('وفاة', 336), ('حالة', 293), ('الءردن', 175), ('ءول', 169), ('تسجيل', 167), ('ءلى', 110), ('عاجل', 98), ('الاردن', 92), ('ءصابة', 84), ('جديدة', 56), ('لسيدة', 53), ('يرحمها', 52), ('المتحدة', 52), ('ءلف', 51), ('الوفيات', 51), ('الولايات', 51), ('ثمانينية', 42), ('المصابين', 41), ('لله', 40), ('يسجل', 38)]"
pessimism,0.03926767676767677,"[('البيت', 15), ('ءصابة', 13), ('القصوى', 12), ('وباء', 12), ('ءزمة', 12), ('جديدة', 11), ('لوفيات', 11), ('للضروره', 9), ('قناة', 9), ('الولايات', 9), ('المتحدة', 9), ('حالة', 9), ('موضوع', 9), ('رقم', 9), ('قياسي', 9), ('ءميركا', 9), ('خلصنا', 8), ('ماراح', 8), ('للوقاية', 8), ('عدوى', 8)]"
anticipation,0.013636363636363636,"[('لمكافحة', 18), ('القصوى', 17), ('البيت', 17), ('المدينة', 17), ('الدخول', 17), ('تطبيق', 17), ('المنورة', 16), ('مدار', 16), ('ساعة', 16), ('للضرورة', 15), ('السبت', 15), ('احترازية', 15), ('موضوع', 14), ('ادخل', 14), ('ءسبوعين', 14), ('الءحياء', 14), ('ءجراءات', 14), ('ءضافية', 14), ('ومنع', 14), ('ينتهي', 13)]"
trust,0.0002525252525252525,"[('الكويت', 2), ('تقصر', 2), ('ءقول', 1), ('شخص', 1), ('كويتي', 1), ('وكويتية', 1), ('ءحمدوا', 1), ('ربكم', 1), ('مرة', 1), ('نعمة', 1), ('تقوم', 1), ('حكومتنا', 1), ('الرشيده', 1), ('ءجراءات', 1), ('ءحترازية', 1), ('لكل', 1), ('المواطنين', 1), ('ءهل', 1), ('الديرة', 1), ('الوافدين', 1)]"
optimism,0.059848484848484845,"[('اللهم', 99), ('يارب', 52), ('البيت', 40), ('عنا', 34), ('خليك', 32), ('البلاء', 30), ('الكويت', 24), ('ءلى', 23), ('كلنا', 23), ('الحمدلله', 20), ('مسءول', 20), ('تعالى', 19), ('الوباء', 18), ('الوقاية', 18), ('الصحة', 17), ('علينا', 17), ('السعودية', 16), ('لمواجهة', 16), ('بءذن', 16), ('الاردن', 16)]"
confident,0.024494949494949497,"[('اللهم', 35), ('شكرا', 23), ('خليك', 17), ('يارب', 16), ('الكويت', 16), ('البيت', 16), ('قلبي', 10), ('كلنا', 10), ('الاردن', 10), ('لله', 10), ('خلود', 9), ('عنا', 9), ('بالبيت', 9), ('الوطن', 8), ('زايد', 8), ('الكريم', 8), ('واحفظ', 8), ('معا', 8), ('احفظ', 8), ('المدينة', 8)]"
empathetic,0.16287878787878787,"[('البيت', 86), ('السعودية', 83), ('خليك', 75), ('بالبيت', 71), ('الكويت', 69), ('شكرا', 69), ('كلنا', 61), ('اللهم', 59), ('مسءول', 52), ('جازان', 49), ('حاءل', 47), ('الخير', 47), ('للوقاية', 45), ('الرياض', 44), ('المدينة', 42), ('الدمام', 40), ('الصحة', 40), ('يارب', 40), ('قناة', 36), ('عدوى', 35)]"
surprise,0.0,[]
