Entity,Code,Date,TotalTestsPerK
Argentina,ARG,08-Apr-20,0.293
Argentina,ARG,09-Apr-20,0.326
Argentina,ARG,10-Apr-20,0.36
Argentina,ARG,11-Apr-20,0.396
Argentina,ARG,13-Apr-20,0.434
Argentina,ARG,14-Apr-20,0.501
Argentina,ARG,15-Apr-20,0.536
Australia,AUS,22-Mar-20,5.633
Australia,AUS,29-Mar-20,8.318
Australia,AUS,02-Apr-20,10.276
Australia,AUS,03-Apr-20,10.917
Australia,AUS,06-Apr-20,11.921
Australia,AUS,07-Apr-20,12.237
Australia,AUS,08-Apr-20,12.574
Australia,AUS,09-Apr-20,12.998
Australia,AUS,10-Apr-20,13.322
Australia,AUS,11-Apr-20,13.696
Australia,AUS,12-Apr-20,13.936
Australia,AUS,13-Apr-20,14.258
Australia,AUS,14-Apr-20,14.43
Australia,AUS,15-Apr-20,14.622
Austria,AUT,25-Feb-20,0.025
Austria,AUT,26-Feb-20,0.037
Austria,AUT,27-Feb-20,0.051
Austria,AUT,28-Feb-20,0.087
Austria,AUT,29-Feb-20,0.188
Austria,AUT,03-Mar-20,0.306
Austria,AUT,04-Mar-20,0.357
Austria,AUT,05-Mar-20,0.423
Austria,AUT,06-Mar-20,0.455
Austria,AUT,07-Mar-20,0.491
Austria,AUT,08-Mar-20,0.513
Austria,AUT,09-Mar-20,0.539
Austria,AUT,10-Mar-20,0.572
Austria,AUT,11-Mar-20,0.611
Austria,AUT,12-Mar-20,0.668
Austria,AUT,13-Mar-20,0.749
Austria,AUT,14-Mar-20,0.85
Austria,AUT,15-Mar-20,0.93
Austria,AUT,16-Mar-20,0.967
Austria,AUT,17-Mar-20,1.17
Austria,AUT,18-Mar-20,1.364
Austria,AUT,19-Mar-20,1.563
Austria,AUT,20-Mar-20,1.778
Austria,AUT,21-Mar-20,2.112
Austria,AUT,22-Mar-20,2.433
Austria,AUT,23-Mar-20,2.668
Austria,AUT,24-Mar-20,3.233
Austria,AUT,25-Mar-20,3.69
Austria,AUT,26-Mar-20,4.099
Austria,AUT,27-Mar-20,4.504
Austria,AUT,28-Mar-20,4.868
Austria,AUT,29-Mar-20,5.288
Austria,AUT,30-Mar-20,5.631
Austria,AUT,31-Mar-20,5.96
Austria,AUT,01-Apr-20,6.361
Austria,AUT,02-Apr-20,10.497
Austria,AUT,03-Apr-20,11.198
Austria,AUT,04-Apr-20,11.857
Austria,AUT,05-Apr-20,12.345
Austria,AUT,06-Apr-20,12.673
Austria,AUT,07-Apr-20,13.121
Austria,AUT,08-Apr-20,13.75
Austria,AUT,09-Apr-20,14.38
Austria,AUT,10-Apr-20,15.343
Austria,AUT,11-Apr-20,16.052
Austria,AUT,12-Apr-20,16.497
Austria,AUT,13-Apr-20,16.899
Austria,AUT,14-Apr-20,17.284
Austria,AUT,15-Apr-20,17.854
Bahrain,BHR,05-Mar-20,3.142
Bahrain,BHR,07-Mar-20,3.781
Bahrain,BHR,09-Mar-20,4.612
Bahrain,BHR,10-Mar-20,4.921
Bahrain,BHR,11-Mar-20,5.189
Bahrain,BHR,12-Mar-20,5.326
Bahrain,BHR,16-Mar-20,7.145
Bahrain,BHR,17-Mar-20,7.983
Bahrain,BHR,20-Mar-20,11.249
Bahrain,BHR,23-Mar-20,14.825
Bahrain,BHR,26-Mar-20,17.395
Bahrain,BHR,29-Mar-20,18.786
Bahrain,BHR,30-Mar-20,19.199
Bahrain,BHR,03-Apr-20,22.38
Bahrain,BHR,04-Apr-20,23.122
Bahrain,BHR,05-Apr-20,26.144
Bahrain,BHR,06-Apr-20,28.086
Bahrain,BHR,07-Apr-20,29.525
Bahrain,BHR,08-Apr-20,31.102
Bahrain,BHR,09-Apr-20,32.452
Bahrain,BHR,10-Apr-20,33.975
Bahrain,BHR,11-Apr-20,35.756
Bahrain,BHR,12-Apr-20,37.681
Bahrain,BHR,13-Apr-20,39.656
Bahrain,BHR,14-Apr-20,41.71
Bahrain,BHR,15-Apr-20,43.158
Belgium,BEL,01-Mar-20,0.005
Belgium,BEL,02-Mar-20,0.029
Belgium,BEL,03-Mar-20,0.07
Belgium,BEL,04-Mar-20,0.125
Belgium,BEL,05-Mar-20,0.185
Belgium,BEL,06-Mar-20,0.272
Belgium,BEL,07-Mar-20,0.306
Belgium,BEL,08-Mar-20,0.341
Belgium,BEL,09-Mar-20,0.388
Belgium,BEL,10-Mar-20,0.451
Belgium,BEL,11-Mar-20,0.539
Belgium,BEL,12-Mar-20,0.659
Belgium,BEL,13-Mar-20,0.861
Belgium,BEL,14-Mar-20,1.035
Belgium,BEL,15-Mar-20,1.131
Belgium,BEL,16-Mar-20,1.274
Belgium,BEL,17-Mar-20,1.441
Belgium,BEL,18-Mar-20,1.646
Belgium,BEL,19-Mar-20,1.896
Belgium,BEL,20-Mar-20,2.12
Belgium,BEL,21-Mar-20,2.289
Belgium,BEL,22-Mar-20,2.39
Belgium,BEL,23-Mar-20,2.617
Belgium,BEL,24-Mar-20,2.899
Belgium,BEL,25-Mar-20,3.211
Belgium,BEL,26-Mar-20,3.517
Belgium,BEL,27-Mar-20,3.882
Belgium,BEL,28-Mar-20,4.167
Belgium,BEL,29-Mar-20,4.341
Belgium,BEL,30-Mar-20,4.63
Belgium,BEL,31-Mar-20,5.101
Belgium,BEL,01-Apr-20,5.52
Belgium,BEL,02-Apr-20,5.937
Belgium,BEL,03-Apr-20,6.39
Belgium,BEL,04-Apr-20,6.763
Belgium,BEL,05-Apr-20,6.985
Belgium,BEL,06-Apr-20,7.365
Belgium,BEL,07-Apr-20,7.86
Belgium,BEL,08-Apr-20,8.379
Belgium,BEL,09-Apr-20,8.902
Belgium,BEL,10-Apr-20,9.466
Belgium,BEL,11-Apr-20,10.015
Belgium,BEL,12-Apr-20,10.512
Belgium,BEL,13-Apr-20,10.979
Bolivia,BOL,21-Mar-20,0.012
Bolivia,BOL,22-Mar-20,0.015
Bolivia,BOL,23-Mar-20,0.024
Bolivia,BOL,24-Mar-20,0.024
Bolivia,BOL,25-Mar-20,0.029
Bolivia,BOL,26-Mar-20,0.038
Bolivia,BOL,27-Mar-20,0.045
Bolivia,BOL,28-Mar-20,0.048
Bolivia,BOL,29-Mar-20,0.05
Bolivia,BOL,30-Mar-20,0.06
Bolivia,BOL,31-Mar-20,0.067
Bolivia,BOL,01-Apr-20,0.072
Bolivia,BOL,02-Apr-20,0.085
Bolivia,BOL,03-Apr-20,0.097
Bolivia,BOL,04-Apr-20,0.098
Bolivia,BOL,05-Apr-20,0.125
Bolivia,BOL,06-Apr-20,0.126
Bolivia,BOL,07-Apr-20,0.127
Bolivia,BOL,08-Apr-20,0.132
Bolivia,BOL,09-Apr-20,0.173
Bolivia,BOL,10-Apr-20,0.189
Bolivia,BOL,11-Apr-20,0.204
Bolivia,BOL,12-Apr-20,0.219
Bolivia,BOL,13-Apr-20,0.233
Bolivia,BOL,14-Apr-20,0.253
Canada,CAN,18-Mar-20,1.435
Canada,CAN,19-Mar-20,1.461
Canada,CAN,20-Mar-20,2.043
Canada,CAN,21-Mar-20,2.364
Canada,CAN,22-Mar-20,2.628
Canada,CAN,23-Mar-20,2.849
Canada,CAN,24-Mar-20,3.326
Canada,CAN,25-Mar-20,3.78
Canada,CAN,26-Mar-20,4.298
Canada,CAN,27-Mar-20,4.538
Canada,CAN,28-Mar-20,4.899
Canada,CAN,29-Mar-20,5.596
Canada,CAN,30-Mar-20,6.413
Canada,CAN,01-Apr-20,6.833
Canada,CAN,02-Apr-20,7.131
Canada,CAN,03-Apr-20,7.847
Canada,CAN,04-Apr-20,8.296
Canada,CAN,05-Apr-20,8.905
Canada,CAN,06-Apr-20,8.957
Canada,CAN,07-Apr-20,9.215
Canada,CAN,08-Apr-20,9.554
Canada,CAN,09-Apr-20,9.935
Canada,CAN,10-Apr-20,10.194
Canada,CAN,11-Apr-20,10.679
Canada,CAN,12-Apr-20,10.761
Canada,CAN,13-Apr-20,11.406
Canada,CAN,14-Apr-20,11.986
Canada,CAN,15-Apr-20,12.296
Chile,CHL,01-Apr-20,2.059
Chile,CHL,02-Apr-20,2.205
Chile,CHL,03-Apr-20,2.389
Chile,CHL,04-Apr-20,2.632
Chile,CHL,05-Apr-20,2.813
Chile,CHL,06-Apr-20,2.97
Chile,CHL,07-Apr-20,3.092
Chile,CHL,08-Apr-20,3.269
Chile,CHL,09-Apr-20,3.7
Chile,CHL,10-Apr-20,3.941
Chile,CHL,11-Apr-20,4.134
Chile,CHL,12-Apr-20,4.454
Chile,CHL,13-Apr-20,4.603
Chile,CHL,14-Apr-20,4.753
Chile,CHL,15-Apr-20,4.973
Colombia,COL,29-Feb-20,0.012
Colombia,COL,08-Mar-20,0.015
Colombia,COL,15-Mar-20,0.047
Colombia,COL,22-Mar-20,0.143
Colombia,COL,29-Mar-20,0.32
Colombia,COL,05-Apr-20,0.551
Colombia,COL,12-Apr-20,0.856
Costa Rica,CRI,11-Mar-20,0.013
Costa Rica,CRI,12-Mar-20,0.031
Costa Rica,CRI,13-Mar-20,0.048
Costa Rica,CRI,14-Mar-20,0.073
Costa Rica,CRI,15-Mar-20,0.082
Costa Rica,CRI,16-Mar-20,0.116
Costa Rica,CRI,17-Mar-20,0.138
Costa Rica,CRI,18-Mar-20,0.169
Costa Rica,CRI,19-Mar-20,0.192
Costa Rica,CRI,20-Mar-20,0.215
Costa Rica,CRI,21-Mar-20,0.245
Costa Rica,CRI,22-Mar-20,0.29
Costa Rica,CRI,23-Mar-20,0.321
Costa Rica,CRI,24-Mar-20,0.354
Costa Rica,CRI,25-Mar-20,0.359
Costa Rica,CRI,26-Mar-20,0.494
Costa Rica,CRI,27-Mar-20,0.59
Costa Rica,CRI,28-Mar-20,0.622
Costa Rica,CRI,29-Mar-20,0.666
Costa Rica,CRI,30-Mar-20,0.718
Costa Rica,CRI,31-Mar-20,0.748
Costa Rica,CRI,01-Apr-20,0.822
Costa Rica,CRI,02-Apr-20,0.848
Costa Rica,CRI,03-Apr-20,0.87
Costa Rica,CRI,04-Apr-20,0.908
Costa Rica,CRI,05-Apr-20,0.996
Costa Rica,CRI,06-Apr-20,1.049
Costa Rica,CRI,07-Apr-20,1.081
Costa Rica,CRI,08-Apr-20,1.182
Costa Rica,CRI,09-Apr-20,1.234
Costa Rica,CRI,10-Apr-20,1.265
Costa Rica,CRI,11-Apr-20,1.296
Costa Rica,CRI,12-Apr-20,1.326
Costa Rica,CRI,13-Apr-20,1.347
Costa Rica,CRI,14-Apr-20,1.362
Costa Rica,CRI,15-Apr-20,1.401
Czech Republic,CZE,27-Jan-20,0.002
Czech Republic,CZE,28-Jan-20,0.003
Czech Republic,CZE,29-Jan-20,0.003
Czech Republic,CZE,30-Jan-20,0.003
Czech Republic,CZE,31-Jan-20,0.003
Czech Republic,CZE,01-Feb-20,0.004
Czech Republic,CZE,02-Feb-20,0.004
Czech Republic,CZE,03-Feb-20,0.005
Czech Republic,CZE,04-Feb-20,0.005
Czech Republic,CZE,06-Feb-20,0.005
Czech Republic,CZE,07-Feb-20,0.006
Czech Republic,CZE,09-Feb-20,0.006
Czech Republic,CZE,10-Feb-20,0.007
Czech Republic,CZE,11-Feb-20,0.007
Czech Republic,CZE,12-Feb-20,0.007
Czech Republic,CZE,13-Feb-20,0.007
Czech Republic,CZE,15-Feb-20,0.007
Czech Republic,CZE,16-Feb-20,0.007
Czech Republic,CZE,17-Feb-20,0.008
Czech Republic,CZE,19-Feb-20,0.008
Czech Republic,CZE,22-Feb-20,0.008
Czech Republic,CZE,23-Feb-20,0.008
Czech Republic,CZE,24-Feb-20,0.009
Czech Republic,CZE,25-Feb-20,0.011
Czech Republic,CZE,26-Feb-20,0.013
Czech Republic,CZE,27-Feb-20,0.016
Czech Republic,CZE,28-Feb-20,0.018
Czech Republic,CZE,29-Feb-20,0.019
Czech Republic,CZE,01-Mar-20,0.02
Czech Republic,CZE,02-Mar-20,0.025
Czech Republic,CZE,03-Mar-20,0.032
Czech Republic,CZE,04-Mar-20,0.038
Czech Republic,CZE,05-Mar-20,0.045
Czech Republic,CZE,06-Mar-20,0.056
Czech Republic,CZE,07-Mar-20,0.074
Czech Republic,CZE,08-Mar-20,0.087
Czech Republic,CZE,09-Mar-20,0.112
Czech Republic,CZE,10-Mar-20,0.128
Czech Republic,CZE,11-Mar-20,0.171
Czech Republic,CZE,12-Mar-20,0.221
Czech Republic,CZE,13-Mar-20,0.291
Czech Republic,CZE,14-Mar-20,0.382
Czech Republic,CZE,15-Mar-20,0.477
Czech Republic,CZE,16-Mar-20,0.593
Czech Republic,CZE,17-Mar-20,0.721
Czech Republic,CZE,18-Mar-20,0.884
Czech Republic,CZE,19-Mar-20,1.093
Czech Republic,CZE,20-Mar-20,1.289
Czech Republic,CZE,21-Mar-20,1.466
Czech Republic,CZE,22-Mar-20,1.634
Czech Republic,CZE,23-Mar-20,1.846
Czech Republic,CZE,24-Mar-20,2.125
Czech Republic,CZE,25-Mar-20,2.511
Czech Republic,CZE,26-Mar-20,2.927
Czech Republic,CZE,27-Mar-20,3.421
Czech Republic,CZE,28-Mar-20,3.828
Czech Republic,CZE,29-Mar-20,4.091
Czech Republic,CZE,30-Mar-20,4.59
Czech Republic,CZE,31-Mar-20,5.174
Czech Republic,CZE,01-Apr-20,5.736
Czech Republic,CZE,02-Apr-20,6.327
Czech Republic,CZE,03-Apr-20,6.975
Czech Republic,CZE,04-Apr-20,7.552
Czech Republic,CZE,05-Apr-20,7.995
Czech Republic,CZE,06-Apr-20,8.581
Czech Republic,CZE,07-Apr-20,9.28
Czech Republic,CZE,08-Apr-20,10.048
Czech Republic,CZE,09-Apr-20,10.801
Czech Republic,CZE,10-Apr-20,11.312
Czech Republic,CZE,11-Apr-20,11.767
Czech Republic,CZE,12-Apr-20,12.071
Czech Republic,CZE,13-Apr-20,12.371
Czech Republic,CZE,14-Apr-20,12.947
Denmark,DNK,20-Mar-20,1.851
Denmark,DNK,21-Mar-20,2.011
Denmark,DNK,23-Mar-20,2.232
