Entity,Code,Date,TotalTestsPerK
Argentina,ARG,08-Apr-20,0.293
Argentina,ARG,09-Apr-20,0.326
Argentina,ARG,10-Apr-20,0.36
Argentina,ARG,11-Apr-20,0.396
Argentina,ARG,13-Apr-20,0.434
Argentina,ARG,14-Apr-20,0.501
Argentina,ARG,15-Apr-20,0.536
Argentina,ARG,16-Apr-20,0.581
Argentina,ARG,17-Apr-20,0.63
Argentina,ARG,18-Apr-20,0.68
Argentina,ARG,19-Apr-20,0.719
Argentina,ARG,20-Apr-20,0.76
Argentina,ARG,21-Apr-20,0.804
Argentina,ARG,22-Apr-20,0.862
Argentina,ARG,23-Apr-20,0.918
Argentina,ARG,24-Apr-20,0.981
Australia,AUS,30-Jan-20,0.002
Australia,AUS,31-Jan-20,0.003
Australia,AUS,01-Feb-20,0.004
Australia,AUS,02-Feb-20,0.004
Australia,AUS,03-Feb-20,0.005
Australia,AUS,04-Feb-20,0.007
Australia,AUS,05-Feb-20,0.012
Australia,AUS,06-Feb-20,0.013
Australia,AUS,07-Feb-20,0.015
Australia,AUS,08-Feb-20,0.021
Australia,AUS,09-Feb-20,0.024
Australia,AUS,10-Feb-20,0.026
Australia,AUS,11-Feb-20,0.028
Australia,AUS,12-Feb-20,0.034
Australia,AUS,13-Feb-20,0.039
Australia,AUS,14-Feb-20,0.044
Australia,AUS,16-Feb-20,0.051
Australia,AUS,17-Feb-20,0.052
Australia,AUS,18-Feb-20,0.056
Australia,AUS,19-Feb-20,0.067
Australia,AUS,20-Feb-20,0.074
Australia,AUS,21-Feb-20,0.08
Australia,AUS,22-Feb-20,0.082
Australia,AUS,23-Feb-20,0.088
Australia,AUS,24-Feb-20,0.089
Australia,AUS,25-Feb-20,0.097
Australia,AUS,26-Feb-20,0.104
Australia,AUS,28-Feb-20,0.112
Australia,AUS,01-Mar-20,0.115
Australia,AUS,03-Mar-20,0.12
Australia,AUS,05-Mar-20,0.13
Australia,AUS,06-Mar-20,0.135
Australia,AUS,07-Mar-20,0.311
Australia,AUS,08-Mar-20,0.359
Australia,AUS,09-Mar-20,0.384
Australia,AUS,10-Mar-20,0.436
Australia,AUS,11-Mar-20,0.439
Australia,AUS,12-Mar-20,0.514
Australia,AUS,13-Mar-20,0.733
Australia,AUS,14-Mar-20,0.924
Australia,AUS,15-Mar-20,0.995
Australia,AUS,16-Mar-20,1.737
Australia,AUS,17-Mar-20,1.985
Australia,AUS,18-Mar-20,3.151
Australia,AUS,19-Mar-20,4.175
Australia,AUS,20-Mar-20,4.452
Australia,AUS,21-Mar-20,4.833
Australia,AUS,22-Mar-20,5.178
Australia,AUS,23-Mar-20,5.668
Australia,AUS,24-Mar-20,6.148
Australia,AUS,25-Mar-20,6.593
Australia,AUS,26-Mar-20,7.022
Australia,AUS,27-Mar-20,7.467
Australia,AUS,28-Mar-20,8.083
Australia,AUS,29-Mar-20,8.955
Australia,AUS,30-Mar-20,9.145
Australia,AUS,31-Mar-20,9.571
Australia,AUS,01-Apr-20,10.11
Australia,AUS,02-Apr-20,10.504
Australia,AUS,03-Apr-20,10.906
Australia,AUS,04-Apr-20,11.24
Australia,AUS,05-Apr-20,11.606
Australia,AUS,06-Apr-20,11.893
Australia,AUS,07-Apr-20,12.15
Australia,AUS,08-Apr-20,12.594
Australia,AUS,09-Apr-20,12.998
Australia,AUS,10-Apr-20,13.322
Australia,AUS,11-Apr-20,13.808
Australia,AUS,12-Apr-20,13.936
Australia,AUS,13-Apr-20,14.258
Australia,AUS,14-Apr-20,14.43
Australia,AUS,15-Apr-20,14.622
Australia,AUS,16-Apr-20,14.962
Australia,AUS,17-Apr-20,15.416
Australia,AUS,18-Apr-20,16.005
Australia,AUS,19-Apr-20,16.576
Australia,AUS,20-Apr-20,16.999
Australia,AUS,21-Apr-20,17.318
Australia,AUS,22-Apr-20,17.814
Australia,AUS,23-Apr-20,18.374
Australia,AUS,24-Apr-20,18.992
Austria,AUT,25-Feb-20,0.025
Austria,AUT,26-Feb-20,0.037
Austria,AUT,27-Feb-20,0.051
Austria,AUT,28-Feb-20,0.087
Austria,AUT,29-Feb-20,0.188
Austria,AUT,03-Mar-20,0.306
Austria,AUT,04-Mar-20,0.357
Austria,AUT,05-Mar-20,0.423
Austria,AUT,06-Mar-20,0.455
Austria,AUT,07-Mar-20,0.491
Austria,AUT,08-Mar-20,0.513
Austria,AUT,09-Mar-20,0.539
Austria,AUT,10-Mar-20,0.572
Austria,AUT,11-Mar-20,0.611
Austria,AUT,12-Mar-20,0.668
Austria,AUT,13-Mar-20,0.749
Austria,AUT,14-Mar-20,0.85
Austria,AUT,15-Mar-20,0.93
Austria,AUT,16-Mar-20,0.967
Austria,AUT,17-Mar-20,1.17
Austria,AUT,18-Mar-20,1.364
Austria,AUT,19-Mar-20,1.563
Austria,AUT,20-Mar-20,1.778
Austria,AUT,21-Mar-20,2.112
Austria,AUT,22-Mar-20,2.433
Austria,AUT,23-Mar-20,2.668
Austria,AUT,24-Mar-20,3.233
Austria,AUT,25-Mar-20,3.69
Austria,AUT,26-Mar-20,4.099
Austria,AUT,27-Mar-20,4.504
Austria,AUT,28-Mar-20,4.868
Austria,AUT,29-Mar-20,5.288
Austria,AUT,30-Mar-20,5.631
Austria,AUT,31-Mar-20,5.96
Austria,AUT,01-Apr-20,6.361
Austria,AUT,02-Apr-20,10.497
Austria,AUT,03-Apr-20,11.198
Austria,AUT,04-Apr-20,11.857
Austria,AUT,05-Apr-20,12.345
Austria,AUT,06-Apr-20,12.673
Austria,AUT,07-Apr-20,13.121
Austria,AUT,08-Apr-20,13.75
Austria,AUT,09-Apr-20,14.38
Austria,AUT,10-Apr-20,15.343
Austria,AUT,11-Apr-20,16.052
Austria,AUT,12-Apr-20,16.497
Austria,AUT,13-Apr-20,16.899
Austria,AUT,14-Apr-20,17.284
Austria,AUT,15-Apr-20,17.854
Austria,AUT,16-Apr-20,18.539
Austria,AUT,17-Apr-20,19.274
Austria,AUT,18-Apr-20,20.033
Austria,AUT,19-Apr-20,20.41
Austria,AUT,20-Apr-20,20.832
Austria,AUT,21-Apr-20,21.523
Austria,AUT,22-Apr-20,22.978
Austria,AUT,23-Apr-20,23.438
Austria,AUT,24-Apr-20,24.218
Bahrain,BHR,05-Mar-20,3.142
Bahrain,BHR,07-Mar-20,3.781
Bahrain,BHR,09-Mar-20,4.612
Bahrain,BHR,10-Mar-20,4.921
Bahrain,BHR,11-Mar-20,5.189
Bahrain,BHR,12-Mar-20,5.326
Bahrain,BHR,16-Mar-20,7.145
Bahrain,BHR,17-Mar-20,7.983
Bahrain,BHR,20-Mar-20,11.249
Bahrain,BHR,23-Mar-20,14.825
Bahrain,BHR,26-Mar-20,17.395
Bahrain,BHR,29-Mar-20,18.786
Bahrain,BHR,30-Mar-20,19.199
Bahrain,BHR,03-Apr-20,22.38
Bahrain,BHR,04-Apr-20,23.122
Bahrain,BHR,05-Apr-20,26.144
Bahrain,BHR,06-Apr-20,28.086
Bahrain,BHR,07-Apr-20,29.525
Bahrain,BHR,08-Apr-20,31.102
Bahrain,BHR,09-Apr-20,32.452
Bahrain,BHR,10-Apr-20,33.975
Bahrain,BHR,11-Apr-20,35.756
Bahrain,BHR,12-Apr-20,37.681
Bahrain,BHR,13-Apr-20,39.656
Bahrain,BHR,14-Apr-20,41.71
Bahrain,BHR,15-Apr-20,43.158
Bahrain,BHR,16-Apr-20,45.321
Bahrain,BHR,17-Apr-20,46.892
Bahrain,BHR,18-Apr-20,48.633
Bahrain,BHR,19-Apr-20,51.086
Bahrain,BHR,20-Apr-20,53.192
Bahrain,BHR,21-Apr-20,55.591
Bahrain,BHR,22-Apr-20,57.603
Bahrain,BHR,23-Apr-20,58.919
Bahrain,BHR,24-Apr-20,62.061
Bangladesh,BGD,04-Mar-20,0.001
Bangladesh,BGD,05-Mar-20,0.001
Bangladesh,BGD,07-Mar-20,0.001
Bangladesh,BGD,08-Mar-20,0.001
Bangladesh,BGD,09-Mar-20,0.001
Bangladesh,BGD,10-Mar-20,0.001
Bangladesh,BGD,11-Mar-20,0.001
Bangladesh,BGD,12-Mar-20,0.001
Bangladesh,BGD,13-Mar-20,0.001
Bangladesh,BGD,14-Mar-20,0.001
Bangladesh,BGD,15-Mar-20,0.002
Bangladesh,BGD,16-Mar-20,0.002
Bangladesh,BGD,17-Mar-20,0.002
Bangladesh,BGD,18-Mar-20,0.002
Bangladesh,BGD,19-Mar-20,0.003
Bangladesh,BGD,20-Mar-20,0.003
Bangladesh,BGD,21-Mar-20,0.003
Bangladesh,BGD,22-Mar-20,0.003
Bangladesh,BGD,23-Mar-20,0.004
Bangladesh,BGD,24-Mar-20,0.004
Bangladesh,BGD,25-Mar-20,0.005
Bangladesh,BGD,26-Mar-20,0.005
Bangladesh,BGD,27-Mar-20,0.006
Bangladesh,BGD,28-Mar-20,0.006
Bangladesh,BGD,29-Mar-20,0.007
Bangladesh,BGD,30-Mar-20,0.008
Bangladesh,BGD,31-Mar-20,0.009
Bangladesh,BGD,01-Apr-20,0.01
Bangladesh,BGD,02-Apr-20,0.011
Bangladesh,BGD,03-Apr-20,0.012
Bangladesh,BGD,04-Apr-20,0.015
Bangladesh,BGD,05-Apr-20,0.017
Bangladesh,BGD,06-Apr-20,0.021
Bangladesh,BGD,07-Apr-20,0.026
Bangladesh,BGD,08-Apr-20,0.032
Bangladesh,BGD,09-Apr-20,0.038
Bangladesh,BGD,10-Apr-20,0.045
Bangladesh,BGD,11-Apr-20,0.049
Bangladesh,BGD,12-Apr-20,0.057
Bangladesh,BGD,13-Apr-20,0.066
Bangladesh,BGD,14-Apr-20,0.077
Bangladesh,BGD,15-Apr-20,0.088
Bangladesh,BGD,16-Apr-20,0.1
Bangladesh,BGD,17-Apr-20,0.113
Bangladesh,BGD,18-Apr-20,0.126
Bangladesh,BGD,19-Apr-20,0.141
Bangladesh,BGD,20-Apr-20,0.157
Bangladesh,BGD,21-Apr-20,0.174
Bangladesh,BGD,22-Apr-20,0.192
Belgium,BEL,01-Mar-20,0.005
Belgium,BEL,02-Mar-20,0.029
Belgium,BEL,03-Mar-20,0.07
Belgium,BEL,04-Mar-20,0.127
Belgium,BEL,05-Mar-20,0.188
Belgium,BEL,06-Mar-20,0.277
Belgium,BEL,07-Mar-20,0.313
Belgium,BEL,08-Mar-20,0.349
Belgium,BEL,09-Mar-20,0.396
Belgium,BEL,10-Mar-20,0.457
Belgium,BEL,11-Mar-20,0.542
Belgium,BEL,12-Mar-20,0.659
Belgium,BEL,13-Mar-20,0.86
Belgium,BEL,14-Mar-20,1.029
Belgium,BEL,15-Mar-20,1.127
Belgium,BEL,16-Mar-20,1.267
Belgium,BEL,17-Mar-20,1.436
Belgium,BEL,18-Mar-20,1.638
Belgium,BEL,19-Mar-20,1.88
Belgium,BEL,20-Mar-20,2.102
Belgium,BEL,21-Mar-20,2.267
Belgium,BEL,22-Mar-20,2.366
Belgium,BEL,23-Mar-20,2.593
Belgium,BEL,24-Mar-20,2.873
Belgium,BEL,25-Mar-20,3.181
Belgium,BEL,26-Mar-20,3.477
Belgium,BEL,27-Mar-20,3.824
Belgium,BEL,28-Mar-20,4.104
Belgium,BEL,29-Mar-20,4.273
Belgium,BEL,30-Mar-20,4.56
Belgium,BEL,31-Mar-20,5.022
Belgium,BEL,01-Apr-20,5.436
Belgium,BEL,02-Apr-20,5.854
Belgium,BEL,03-Apr-20,6.301
Belgium,BEL,04-Apr-20,6.673
Belgium,BEL,05-Apr-20,6.895
Belgium,BEL,06-Apr-20,7.27
Belgium,BEL,07-Apr-20,7.775
Belgium,BEL,08-Apr-20,8.304
Belgium,BEL,09-Apr-20,8.832
Belgium,BEL,10-Apr-20,9.388
Belgium,BEL,11-Apr-20,9.934
Belgium,BEL,12-Apr-20,10.399
Belgium,BEL,13-Apr-20,10.81
Belgium,BEL,14-Apr-20,11.296
Belgium,BEL,15-Apr-20,11.953
Belgium,BEL,16-Apr-20,12.609
Belgium,BEL,17-Apr-20,13.274
Belgium,BEL,18-Apr-20,13.874
Belgium,BEL,19-Apr-20,14.277
Belgium,BEL,20-Apr-20,14.883
Belgium,BEL,21-Apr-20,15.476
Belgium,BEL,22-Apr-20,16.196
Bolivia,BOL,21-Mar-20,0.012
Bolivia,BOL,22-Mar-20,0.015
Bolivia,BOL,23-Mar-20,0.024
Bolivia,BOL,24-Mar-20,0.024
Bolivia,BOL,25-Mar-20,0.029
Bolivia,BOL,26-Mar-20,0.038
Bolivia,BOL,27-Mar-20,0.045
Bolivia,BOL,28-Mar-20,0.048
Bolivia,BOL,29-Mar-20,0.05
Bolivia,BOL,30-Mar-20,0.06
Bolivia,BOL,31-Mar-20,0.067
Bolivia,BOL,01-Apr-20,0.072
Bolivia,BOL,02-Apr-20,0.085
Bolivia,BOL,03-Apr-20,0.097
Bolivia,BOL,04-Apr-20,0.098
Bolivia,BOL,05-Apr-20,0.125
Bolivia,BOL,06-Apr-20,0.126
Bolivia,BOL,07-Apr-20,0.127
Bolivia,BOL,08-Apr-20,0.132
Bolivia,BOL,09-Apr-20,0.173
Bolivia,BOL,10-Apr-20,0.189
Bolivia,BOL,11-Apr-20,0.204
Bolivia,BOL,12-Apr-20,0.219
Bolivia,BOL,13-Apr-20,0.233
Bolivia,BOL,14-Apr-20,0.253
Bolivia,BOL,15-Apr-20,0.28
Bolivia,BOL,16-Apr-20,0.296
Bolivia,BOL,17-Apr-20,0.31
Bolivia,BOL,18-Apr-20,0.312
Bolivia,BOL,19-Apr-20,0.358
Bolivia,BOL,20-Apr-20,0.372
Bolivia,BOL,21-Apr-20,0.383
Bolivia,BOL,22-Apr-20,0.417
Bolivia,BOL,23-Apr-20,0.433
Bulgaria,BGR,11-Apr-20,2.666
Bulgaria,BGR,19-Apr-20,3.806
Bulgaria,BGR,22-Apr-20,3.89
Canada,CAN,18-Mar-20,1.435
Canada,CAN,19-Mar-20,1.461
Canada,CAN,20-Mar-20,2.043
Canada,CAN,21-Mar-20,2.364
