Entity,Code,Date,TotalTestsPerK
Argentina,ARG,08-Apr-20,0.295
Argentina,ARG,09-Apr-20,0.329
Argentina,ARG,10-Apr-20,0.362
Argentina,ARG,11-Apr-20,0.399
Argentina,ARG,13-Apr-20,0.437
Argentina,ARG,14-Apr-20,0.505
Argentina,ARG,15-Apr-20,0.539
Argentina,ARG,16-Apr-20,0.585
Argentina,ARG,17-Apr-20,0.634
Argentina,ARG,18-Apr-20,0.685
Argentina,ARG,19-Apr-20,0.724
Argentina,ARG,20-Apr-20,0.765
Argentina,ARG,21-Apr-20,0.81
Argentina,ARG,22-Apr-20,0.868
Argentina,ARG,23-Apr-20,0.925
Argentina,ARG,24-Apr-20,0.988
Argentina,ARG,25-Apr-20,1.049
Argentina,ARG,26-Apr-20,1.104
Argentina,ARG,27-Apr-20,1.148
Argentina,ARG,28-Apr-20,1.186
Argentina,ARG,29-Apr-20,1.24
Argentina,ARG,30-Apr-20,1.298
Argentina,ARG,01-May-20,1.361
Argentina,ARG,02-May-20,1.413
Argentina,ARG,03-May-20,1.456
Argentina,ARG,04-May-20,1.503
Argentina,ARG,05-May-20,1.543
Argentina,ARG,06-May-20,1.6
Argentina,ARG,07-May-20,1.664
Argentina,ARG,08-May-20,1.724
Argentina,ARG,09-May-20,1.786
Argentina,ARG,10-May-20,1.837
Argentina,ARG,11-May-20,1.884
Argentina,ARG,12-May-20,1.937
Argentina,ARG,13-May-20,2.002
Argentina,ARG,14-May-20,2.073
Argentina,ARG,15-May-20,2.144
Argentina,ARG,16-May-20,2.221
Argentina,ARG,17-May-20,2.284
Argentina,ARG,18-May-20,2.342
Argentina,ARG,20-May-20,2.486
Australia,AUS,22-Mar-20,5.61
Australia,AUS,29-Mar-20,8.285
Australia,AUS,05-Apr-20,11.653
Australia,AUS,06-Apr-20,11.869
Australia,AUS,07-Apr-20,12.184
Australia,AUS,08-Apr-20,12.524
Australia,AUS,09-Apr-20,12.946
Australia,AUS,10-Apr-20,13.269
Australia,AUS,11-Apr-20,13.641
Australia,AUS,12-Apr-20,13.88
Australia,AUS,13-Apr-20,14.201
Australia,AUS,14-Apr-20,14.372
