Country,Code,Date,TotalConfirmedDeaths,DailyNewConfirmedDeaths
Afghanistan,AFG,25-Feb-20,1,1
Afghanistan,AFG,26-Feb-20,1,
Afghanistan,AFG,27-Feb-20,1,
Afghanistan,AFG,28-Feb-20,1,
Afghanistan,AFG,29-Feb-20,1,
Afghanistan,AFG,01-Mar-20,1,
Afghanistan,AFG,02-Mar-20,1,
Afghanistan,AFG,08-Mar-20,4,3
Afghanistan,AFG,11-Mar-20,7,3
Afghanistan,AFG,15-Mar-20,10,3
Afghanistan,AFG,16-Mar-20,16,6
Afghanistan,AFG,17-Mar-20,21,5
Afghanistan,AFG,18-Mar-20,22,1
Afghanistan,AFG,19-Mar-20,22,
Afghanistan,AFG,20-Mar-20,22,
Afghanistan,AFG,21-Mar-20,24,2
Afghanistan,AFG,22-Mar-20,24,
Afghanistan,AFG,23-Mar-20,34,10
Afghanistan,AFG,24-Mar-20,40,6
Afghanistan,AFG,25-Mar-20,42,2
Afghanistan,AFG,26-Mar-20,75,33
Afghanistan,AFG,27-Mar-20,75,
Afghanistan,AFG,28-Mar-20,91,16
Afghanistan,AFG,29-Mar-20,106,15
Afghanistan,AFG,30-Mar-20,114,8
Afghanistan,AFG,31-Mar-20,141,27
Afghanistan,AFG,01-Apr-20,166,25
Afghanistan,AFG,02-Apr-20,192,26
Afghanistan,AFG,03-Apr-20,235,43
Afghanistan,AFG,04-Apr-20,235,
Afghanistan,AFG,05-Apr-20,270,35
Afghanistan,AFG,06-Apr-20,299,29
Afghanistan,AFG,07-Apr-20,337,38
Afghanistan,AFG,08-Apr-20,367,30
Afghanistan,AFG,09-Apr-20,423,56
Afghanistan,AFG,10-Apr-20,484,61
Afghanistan,AFG,11-Apr-20,521,37
Afghanistan,AFG,12-Apr-20,555,34
Afghanistan,AFG,13-Apr-20,607,52
Afghanistan,AFG,14-Apr-20,665,58
Afghanistan,AFG,15-Apr-20,714,49
Afghanistan,AFG,16-Apr-20,784,70
Afghanistan,AFG,17-Apr-20,794,10
Afghanistan,AFG,18-Apr-20,845,51
Afghanistan,AFG,19-Apr-20,908,63
Afghanistan,AFG,20-Apr-20,996,88
Afghanistan,AFG,21-Apr-20,1031,35
Afghanistan,AFG,22-Apr-20,1092,61
Afghanistan,AFG,23-Apr-20,1176,84
Afghanistan,AFG,24-Apr-20,1281,105
Afghanistan,AFG,25-Apr-20,1351,70
Afghanistan,AFG,26-Apr-20,1463,112
Afghanistan,AFG,27-Apr-20,1531,68
Afghanistan,AFG,28-Apr-20,1703,172
Afghanistan,AFG,29-Apr-20,1827,124
Afghanistan,AFG,30-Apr-20,1949,122
Afghanistan,AFG,01-May-20,2171,222
Afghanistan,AFG,02-May-20,2335,164
Africa,,15-Feb-20,1,1
Africa,,16-Feb-20,1,
Africa,,17-Feb-20,1,
Africa,,18-Feb-20,1,
Africa,,19-Feb-20,1,
Africa,,20-Feb-20,1,
Africa,,21-Feb-20,1,
Africa,,22-Feb-20,1,
Africa,,23-Feb-20,1,
Africa,,24-Feb-20,1,
Africa,,25-Feb-20,1,
Africa,,26-Feb-20,2,1
Africa,,27-Feb-20,2,
Africa,,28-Feb-20,3,1
Africa,,29-Feb-20,3,
Africa,,01-Mar-20,5,2
Africa,,02-Mar-20,6,1
Africa,,03-Mar-20,9,3
Africa,,04-Mar-20,11,2
Africa,,05-Mar-20,20,9
Africa,,06-Mar-20,29,9
Africa,,07-Mar-20,43,14
Africa,,08-Mar-20,44,1
Africa,,09-Mar-20,83,39
Africa,,10-Mar-20,95,12
Africa,,11-Mar-20,105,10
Africa,,12-Mar-20,118,13
