Country,SexDisaggregated,Date,TotalCases,PercentCasesMale,PercentCasesFemale,Deaths,PercentDeathsMale,PercentDeathsFemale,DeathsAmongConfirmedCasesMale,DeathsInConfirmedCasesFemale,DeathsInConfirmedCasesMFRatio,Sources
Dominican Republic,Yes,26.04.20,"6,293.00",54,46,282,78,22,6.50%,2.10%,3,Source
Thailand,Yes,27.04.20,"2,938.00",55,45,52,77,23,2.50%,0.90%,2.7,Source
Greece,Yes,27.04.20,"2,324.00",55,45,132,76,24,7.80%,3.10%,2.5,Source
Romania,Yes,26.04.20,"11,313.00",45,55,619,64,36,7.90%,3.50%,2.3,Source
The Netherlands,Yes,28.04.20,"38,365.00",38,62,"4,566",57,43,18.10%,8.10%,2.2,Source
Belgium,Yes,28.04.20,"47,682.00",37,63,"5,286",51,49,15.30%,8.60%,1.8,Source
Denmark,Yes,28.04.20,"8,851.00",42,58,434,57,43,6.60%,3.60%,1.8,Source
Ecuador,Yes,28.04.20,"15,728.00",55,45,871,68,32,6.90%,3.90%,1.8,Source
Italy,Yes,23.04.20,"176,716.00",49,51,"23,164",63,37,17.10%,9.30%,1.8,Source
Spain,Yes,28.04.20,"204,856.00",44,56,"15,853",58,42,10.20%,5.80%,1.8,Source
Northern Ireland,Yes,20.04.20,"2,724.00",41,59,206,56,44,10.40%,5.60%,1.8,Source
Argentina,Yes,27.04.20,"3,892.00",50,50,192,65,35,6.30%,3.50%,1.8,Source
China,Yes,28.02.20,"55,924.00",51,49,"2,114",64,36,4.70%,2.80%,1.7,Source
Philippines,Yes,28.04.20,"7,955.00",54,46,530,66,34,8.20%,4.90%,1.7,Source
South Korea,Yes,28.04.20,"10,752.00",40,60,244,52,48,2.90%,1.80%,1.6,Source
Sweden,Yes,28.04.20,"19,621.00",45,55,"2,355",57,43,15.10%,9.40%,1.6,Source
Switzerland,Yes,29.04.20,"29,376.00",46,54,"1,408",58,42,6.10%,3.70%,1.6,Source
Mexico,Yes,27.04.20,"15,529.00",58,42,"1,434",68,32,10.90%,6.90%,1.6,Source
Ukraine,Yes,28.04.20,"9,410.00",44,56,239,55,45,3.20%,2.00%,1.6,Source
Australia,Yes,28.04.20,"6,713.00",50,50,84,61,39,1.50%,1.00%,1.5,Source
Indonesia,Yes,28.04.20,"9,511.00",59,41,773,68,32,9.30%,6.40%,1.5,Source
Republic of Ireland,Yes,27.04.20,"19,666.00",42,58,903,53,47,5.80%,3.70%,1.5,Source
Peru,Yes,26.04.20,"28,699.00",62,38,782,71,29,3.10%,2.10%,1.5,Source
Colombia,Yes,27.04.20,"5,597.00",52,48,253,62,38,5.40%,3.50%,1.5,Source
South Africa,Yes,19.04.20,"3,142.00",45,55,43,56,44,1.70%,1.10%,1.5,Source
Germany,Yes,28.04.20,"156,337.00",48,52,"5,908",57,43,4.50%,3.20%,1.4,Source
Portugal,Yes,27.04.20,"24,322.00",41,59,948,49,51,4.70%,3.30%,1.4,Source
Austria,Yes,28.04.20,"15,314.00",49,51,550,56,44,4.10%,3.10%,1.3,Source
Canada,Yes,27.04.20,"26,638.00",44,56,"1,067",50,50,4.50%,3.60%,1.3,Source
Norway,Yes,28.04.20,"7,605.00",49,51,195,55,45,2.90%,2.30%,1.3,Source
Finland,Yes,28.04.20,"4,740.00",48,52,145,52,48,3.30%,2.80%,1.2,Source
Luxembourg,Yes,28.04.20,"3,741.00",51,49,89,56,44,2.60%,2.10%,1.2,Source
Iran,Yes,17.03.20,"14,991.00",57,43,853,59,41,5.90%,5.40%,1.1,Source
India,Yes,06.04.20,"4,065.00",76,24,111,73,27,2.60%,3.10%,0.9,Source
Pakistan,Yes,29.04.20,"14,885.00",79,21,327,74,26,2.00%,2.80%,0.7,Source
Brazil,Partial,26.04.20,"61,888.00",,,"3,611",59,41,,,,Source
Chile,Partial,27.04.20,"14,362.00",50,50,207,,,,,,Source
Czech Republic,Partial,28.04.20,"7,393",48,52,225,,,,,,Source
France,Partial,28.04.20,"128,339.00",,,"14,579",60,40,,,,Source
Israel,Partial,19.04.20,"13,491.00",,,171,50,50,,,,Source
Japan,Partial,26.04.20,"13,084",57,43,372,,,,,,Source
Malaysia,Partial,28.04.20,"5,851",,,94,78,22,,,,Source
Poland,Partial,28.04.20,"12,218",,,594,54,46,,,,Source
Russia,No,28.04.20,"93,558",,,867,,,,,,Source
Saudi Arabia,No,20.04.20,"9,362",,,97,,,,,,Source
Turkey,No,28.04.20,"114,653",,,"2,992",,,,,,Source
England and Wales*,Partial,17.04.20,,,,"19,093",60,40,,,,Source
USA,Partial,28.04.20,"1,035,765",,,"31,586",57,43,,,,Source
Scotland*,Partial,19.04.20,,,,"2,272",53,47,,,,Source
Singapore,Partial,19.04.20,"6,532",89,11,11,,,,,,Source
Qatar,No,28.04.20,"11,921",,,10,,,,,,Source
Belarus,No,28.04.20,"12,208",,,79,,,,,,Source
Panama,Partial,27.04.20,"6,021",62,38,167,,,,,,Source
Egypt,No,27.04.20,"4,782",,,337,,,,,,Source
UAE,No,27.04.20,"11,380",,,89,,,,,,Source
Serbia,Partial,29.04.20,"8,724",,,173,63,37,,,,Source
Hungary,Partial,29.04.20,"2,727",,,300,51,49,,,,Source
Moldova,Partial,28.04.20,"3,638",42,58,103,,,,,,Source
Algeria,Partial,29.04.20,"3,848",43,58,444,,,,,,Source
Bangladesh,Partial,28.04.20,"6,462",68,32,155,,,,,,Source
Morocco,No,28.04.20,"4,246",,,163,,,,,,Source
Kuwait,No,28.04.20,"3,440",,,23,,,,,,Source
Cameroon,No,27.04.20,"1,705",,,58,,,,,,Source
Oman,No,28.04.20,"2,131",,,10,,,,,,Source
Croatia,Partial,28.04.20,"2,064",46,54,67,,,,,,Source
Uzbekistan,No,28.04.20,"1,939",,,8,,,,,,Source
Armenia,Partial,29.04.20,"1,932",,,27,48,52,,,,Source
Iceland,Partial,28.04.20,"1,795",50,50,10,,,,,,Source
