"Country","Date","ConfirmedCasesTotal","ConfirmedCasesPercentMale","ConfirmedCasesPercentFemale","DeathTotal","DeathsPercentMale","DeathsPercentFemale","TotalPropOfDeathAmongConfirmedCases","PropOfDeathAmongConfirmedCasesMale","PropOfDeathAmongConfirmedCasesFemale","PropOfDeathAmongConfirmedCasesMFratio"
"USA","2020-03-31","163539","na","na","2860","na","na","1.7%","na","na","na"
"Italy","2020-03-30","94312","56%","44%","10026","69%","31%","10.6%","13.3%","7.4%","1.79"
"Spain","2020-04-02","69177","49%","51%","4631","62%","36%","6.7%","8.4%","4.7%","1.79"
"Germany","2020-03-31","61913","52%","48%","583","66%","34%","0.9%","1.2%","0.7%","1.77"
"China","2020-02-28","55924","51%","49%","2114","64%","36%","3.8%","4.7%","2.8%","1.68"
"UK","2020-03-31","25150","na","na","1789","na","na","7.1%","na","na","na"
"Switzerland","2020-03-31","16176","48%","52%","373","61%","39%","2.3%","2.9%","1.7%","1.70"
"Iran","2020-03-17","14991","57%","43%","853","59%","41%","5.7%","5.9%","5.4%","1.09"
"Belgium","2020-03-31","13964","47%","52%","828","58%","41%","5.9%","7.2%","4.7%","1.53"
"The Netherlands","2020-04-01","13614","50%","50%","1173","61%","39%","8.6%","10.6%","6.6%","1.60"
"Turkey","2020-03-31","13531","na","na","214","na","na","1.6%","na","na","na"
"Austria","2020-04-01","10372","51%","49%","146","na","na","1.4%","na","na","na"
"South Korea","2020-04-01","9887","40%","60%","165","51%","49%","1.7%","2.1%","1.4%","1.56"
"Portugal","2020-03-31","8251","45%","54%","187","59%","41%","2.3%","3.0%","1.7%","1.79"
"Canada","2020-03-31","7708","51%","49%","89","na","na","1.2%","na","na","na"
"France*","2020-03-15","6378","47%","53%","161","58%","42%","2.5%","3.1%","2.0%","1.55"
"Brazil","2020-03-31","5717","na","na","201","na","na","3.5%","na","na","na"
"Israel","2020-04-01","5591","na","na","21","na","na","0.4%","na","na","na"
"Norway","2020-04-01","4655","51%","49%","28","na","na","0.6%","na","na","na"
"Sweden","2020-03-31","4435","53%","48%","180","58%","42%","4.1%","4.5%","3.6%","1.27"
"Australia","2020-04-01","4325","51%","49%","20","na","na","0.5%","na","na","na"
"Czech Republic","2020-04-01","3300","45%","42%","32","na","na","1.0%","na","na","na"
"Ireland","2020-03-30","2990","49%","50%","85","69%","31%","2.8%","4.0%","1.7%","2.33"
"Malaysia","2020-04-01","2908","na","na","45","na","na","1.5%","na","na","na"
"Russia","2020-04-01","2765","na","na","24","na","na","0.9%","na","na","na"
"Pakistan","2020-04-03","2450","na","na","35","na","na","1.4%","na","na","na"
"Poland","2020-04-01","2420","na","na","36","na","na","1.5%","na","na","na"
"Chile","2020-03-30","2373","50%","50%","12","na","na","0.5%","na","na","na"
"Philippines","2020-04-01","2311","62%","38%","96","75%","25%","4.2%","5.1%","2.7%","1.87"
"Ecuador","2020-03-31","2302","54%","46%","77","na","na","3.3%","na","na","na"
"Romania","2020-03-31","2245","41%","55%","82","na","na","3.7%","na","na","na"
"Luxembourg","2020-03-31","2178","na","na","23","na","na","1.1%","na","na","na"
"Denmark","2020-03-25","1715","60%","40%","34","71%","29%","2.0%","2.3%","1.5%","1.60"
"Japan","2020-03-30","1594","58%","42%","52","na","na","3.3%","na","na","na"
"Thailand","2020-03-30","1524","60%","40%","9","na","na","0.6%","na","na","na"
