Category,Rate,Hotwords
anger,0.0496,"[('test', 79), ('case', 77), ('flu', 59), ('death', 55), ('symptom', 55), ('panic', 48), ('health', 46), ('fear', 44), ('dont', 39), ('risk', 37), ('spread', 35), ('infection', 34), ('report', 32), ('scar', 29), ('day', 29), ('positive', 28), ('patient', 27), ('confirm', 27), ('pandemic', 27), ('hospital', 27)]"
anticipation,0.2307,"[('test', 225), ('dont', 192), ('spread', 181), ('close', 157), ('work', 146), ('government', 141), ('fuck', 135), ('call', 135), ('pandemic', 126), ('shit', 123), ('china', 117), ('country', 116), ('cancel', 107), ('chinese', 106), ('outbreak', 105), ('response', 100), ('quarantine', 100), ('case', 98), ('bad', 96), ('health', 94)]"
disgust,0.004,"[('love', 24), ('happy', 16), ('hope', 7), ('time', 6), ('birthday', 6), ('st', 6), ('patrick', 5), ('today', 4), ('amaze', 4), ('send', 3), ('great', 3), ('good', 3), ('namaste', 3), ('greet', 3), ('feel', 3), ('stay', 3), ('afternoon', 2), ('day', 2), ('chaos', 2), ('church', 2)]"
fear,0.0052,"[('test', 9), ('wait', 7), ('positive', 5), ('cure', 4), ('call', 4), ('china', 4), ('watch', 4), ('today', 3), ('knew', 3), ('spread', 3), ('happen', 3), ('episode', 3), ('news', 3), ('trade', 3), ('day', 3), ('disney', 3), ('true', 3), ('vaccine', 3), ('case', 3), ('twitter', 3)]"
confident,0.0,[]
empathetic,0.1505,"[('test', 140), ('support', 129), ('stay', 129), ('work', 127), ('safe', 113), ('health', 100), ('spread', 100), ('good', 91), ('friend', 90), ('family', 88), ('share', 87), ('pandemic', 87), ('time', 84), ('love', 80), ('government', 79), ('business', 79), ('fight', 76), ('dont', 76), ('sign', 74), ('staff', 73)]"
optimism,0.2033,"[('test', 205), ('work', 142), ('support', 137), ('stay', 122), ('update', 121), ('safe', 112), ('health', 105), ('good', 103), ('spread', 102), ('friend', 95), ('pandemic', 95), ('share', 91), ('family', 90), ('business', 89), ('fight', 85), ('time', 84), ('love', 83), ('today', 83), ('sign', 82), ('positive', 81)]"
pessimism,0.0904,"[('work', 100), ('die', 87), ('dont', 85), ('cancel', 77), ('bad', 74), ('close', 68), ('symptom', 62), ('flu', 59), ('test', 57), ('life', 52), ('pandemic', 52), ('death', 50), ('feel', 49), ('health', 47), ('sick', 43), ('care', 43), ('week', 42), ('shit', 40), ('risk', 39), ('start', 39)]"
sadness,0.0,[]
surprise,0.2635,"[('test', 259), ('dont', 212), ('spread', 189), ('close', 165), ('work', 156), ('call', 145), ('pandemic', 141), ('government', 139), ('fuck', 138), ('case', 136), ('china', 128), ('shit', 124), ('country', 122), ('outbreak', 114), ('chinese', 114), ('quarantine', 111), ('cancel', 110), ('health', 109), ('death', 107), ('bad', 106)]"
trust,0.0028,"[('sad', 17), ('dont', 10), ('work', 4), ('ive', 3), ('bad', 3), ('wait', 3), ('social', 3), ('hard', 3), ('isolation', 3), ('money', 3), ('cuz', 3), ('life', 3), ('stay', 3), ('stress', 3), ('cry', 2), ('medium', 2), ('bc', 2), ('feel', 2), ('change', 2), ('true', 2)]"
