Entity,Code,Date,DailyChangeInTotalTestsPerK
Argentina,ARG,09-Apr-20,0.033
Argentina,ARG,10-Apr-20,0.034
Argentina,ARG,11-Apr-20,0.036
Argentina,ARG,14-Apr-20,0.067
Argentina,ARG,15-Apr-20,0.034
Argentina,ARG,16-Apr-20,0.046
Argentina,ARG,17-Apr-20,0.048
Argentina,ARG,18-Apr-20,0.05
Argentina,ARG,19-Apr-20,0.039
Australia,AUS,31-Jan-20,0.001
Australia,AUS,01-Feb-20,0.001
Australia,AUS,02-Feb-20,0.001
Australia,AUS,03-Feb-20,0.001
Australia,AUS,04-Feb-20,0.001
Australia,AUS,05-Feb-20,0.005
Australia,AUS,06-Feb-20,0.001
Australia,AUS,07-Feb-20,0.002
Australia,AUS,08-Feb-20,0.007
Australia,AUS,09-Feb-20,0.003
Australia,AUS,10-Feb-20,0.001
Australia,AUS,11-Feb-20,0.002
Australia,AUS,12-Feb-20,0.007
Australia,AUS,13-Feb-20,0.004
Australia,AUS,14-Feb-20,0.006
Australia,AUS,17-Feb-20,0
Australia,AUS,18-Feb-20,0.004
Australia,AUS,19-Feb-20,0.011
Australia,AUS,20-Feb-20,0.007
Australia,AUS,21-Feb-20,0.006
Australia,AUS,22-Feb-20,0.003
Australia,AUS,23-Feb-20,0.006
Australia,AUS,24-Feb-20,0.001
Australia,AUS,25-Feb-20,0.008
Australia,AUS,26-Feb-20,0.007
Australia,AUS,06-Mar-20,0.005
Australia,AUS,07-Mar-20,0.175
Australia,AUS,08-Mar-20,0.048
Australia,AUS,09-Mar-20,0.025
Australia,AUS,10-Mar-20,0.053
Australia,AUS,11-Mar-20,0.002
Australia,AUS,12-Mar-20,0.075
Australia,AUS,13-Mar-20,0.219
Australia,AUS,14-Mar-20,0.191
Australia,AUS,15-Mar-20,0.072
Australia,AUS,16-Mar-20,0.742
Australia,AUS,17-Mar-20,0.248
Australia,AUS,18-Mar-20,1.166
Australia,AUS,19-Mar-20,1.025
Australia,AUS,20-Mar-20,0.276
Australia,AUS,21-Mar-20,0.381
Australia,AUS,22-Mar-20,0.345
Australia,AUS,23-Mar-20,0.491
Australia,AUS,24-Mar-20,0.48
Australia,AUS,25-Mar-20,0.445
Australia,AUS,26-Mar-20,0.429
Australia,AUS,27-Mar-20,0.445
Australia,AUS,28-Mar-20,0.616
Australia,AUS,29-Mar-20,0.871
Australia,AUS,30-Mar-20,0.19
Australia,AUS,31-Mar-20,0.426
Australia,AUS,01-Apr-20,0.54
Australia,AUS,02-Apr-20,0.394
Australia,AUS,03-Apr-20,0.402
Australia,AUS,04-Apr-20,0.334
Australia,AUS,05-Apr-20,0.304
Australia,AUS,06-Apr-20,0.349
Australia,AUS,07-Apr-20,0.257
Australia,AUS,08-Apr-20,0.444
Australia,AUS,09-Apr-20,0.404
Australia,AUS,10-Apr-20,0.323
Australia,AUS,11-Apr-20,0.487
Australia,AUS,12-Apr-20,0.127
Australia,AUS,13-Apr-20,0.323
Australia,AUS,14-Apr-20,0.172
Australia,AUS,15-Apr-20,0.192
Australia,AUS,16-Apr-20,0.34
Australia,AUS,17-Apr-20,0.454
Australia,AUS,18-Apr-20,0.59
Australia,AUS,19-Apr-20,0.57
Austria,AUT,26-Feb-20,0.012
Austria,AUT,27-Feb-20,0.014
Austria,AUT,28-Feb-20,0.036
Austria,AUT,29-Feb-20,0.101
Austria,AUT,04-Mar-20,0.052
Austria,AUT,05-Mar-20,0.065
Austria,AUT,06-Mar-20,0.033
Austria,AUT,07-Mar-20,0.035
Austria,AUT,08-Mar-20,0.023
Austria,AUT,09-Mar-20,0.026
Austria,AUT,10-Mar-20,0.033
Austria,AUT,11-Mar-20,0.038
Austria,AUT,12-Mar-20,0.058
Austria,AUT,13-Mar-20,0.081
Austria,AUT,14-Mar-20,0.101
Austria,AUT,15-Mar-20,0.08
Austria,AUT,16-Mar-20,0.037
Austria,AUT,17-Mar-20,0.204
Austria,AUT,18-Mar-20,0.193
Austria,AUT,19-Mar-20,0.199
Austria,AUT,20-Mar-20,0.215
Austria,AUT,21-Mar-20,0.334
Austria,AUT,22-Mar-20,0.321
Austria,AUT,23-Mar-20,0.235
Austria,AUT,24-Mar-20,0.565
Austria,AUT,25-Mar-20,0.457
Austria,AUT,26-Mar-20,0.409
Austria,AUT,27-Mar-20,0.405
Austria,AUT,28-Mar-20,0.364
Austria,AUT,29-Mar-20,0.42
Austria,AUT,30-Mar-20,0.343
Austria,AUT,31-Mar-20,0.329
Austria,AUT,01-Apr-20,0.401
Austria,AUT,02-Apr-20,4.136
Austria,AUT,03-Apr-20,0.701
Austria,AUT,04-Apr-20,0.659
Austria,AUT,05-Apr-20,0.488
Austria,AUT,06-Apr-20,0.328
Austria,AUT,07-Apr-20,0.449
Austria,AUT,08-Apr-20,0.629
Austria,AUT,09-Apr-20,0.63
Austria,AUT,10-Apr-20,0.963
Austria,AUT,11-Apr-20,0.71
Austria,AUT,12-Apr-20,0.444
Austria,AUT,13-Apr-20,0.403
Austria,AUT,14-Apr-20,0.385
Austria,AUT,15-Apr-20,0.57
Austria,AUT,16-Apr-20,0.685
Austria,AUT,17-Apr-20,0.735
Austria,AUT,18-Apr-20,0.758
Austria,AUT,19-Apr-20,0.377
Bahrain,BHR,10-Mar-20,0.309
Bahrain,BHR,11-Mar-20,0.269
Bahrain,BHR,12-Mar-20,0.137
Bahrain,BHR,17-Mar-20,0.838
Bahrain,BHR,30-Mar-20,0.413
Bahrain,BHR,04-Apr-20,0.742
Bahrain,BHR,05-Apr-20,3.022
Bahrain,BHR,06-Apr-20,1.943
Bahrain,BHR,07-Apr-20,1.439
Bahrain,BHR,08-Apr-20,1.577
Bahrain,BHR,09-Apr-20,1.35
Bahrain,BHR,10-Apr-20,1.523
Bahrain,BHR,11-Apr-20,1.782
Bahrain,BHR,12-Apr-20,1.924
Bahrain,BHR,13-Apr-20,1.976
Bahrain,BHR,14-Apr-20,2.053
Bahrain,BHR,15-Apr-20,1.448
Bahrain,BHR,16-Apr-20,2.163
Bahrain,BHR,17-Apr-20,1.571
Bahrain,BHR,18-Apr-20,1.741
Bahrain,BHR,19-Apr-20,1.507
Bangladesh,BGD,05-Mar-20,0
Bangladesh,BGD,08-Mar-20,0
Bangladesh,BGD,09-Mar-20,0
Bangladesh,BGD,10-Mar-20,0
Bangladesh,BGD,11-Mar-20,0
Bangladesh,BGD,12-Mar-20,0
Bangladesh,BGD,13-Mar-20,0
Bangladesh,BGD,14-Mar-20,0
Bangladesh,BGD,15-Mar-20,0
Bangladesh,BGD,16-Mar-20,0
Bangladesh,BGD,17-Mar-20,0
Bangladesh,BGD,18-Mar-20,0
Bangladesh,BGD,19-Mar-20,0
Bangladesh,BGD,20-Mar-20,0
Bangladesh,BGD,21-Mar-20,0
Bangladesh,BGD,22-Mar-20,0
Bangladesh,BGD,23-Mar-20,0
Bangladesh,BGD,24-Mar-20,0.001
Bangladesh,BGD,25-Mar-20,0
Bangladesh,BGD,26-Mar-20,0.001
Bangladesh,BGD,27-Mar-20,0.001
Bangladesh,BGD,28-Mar-20,0
Bangladesh,BGD,29-Mar-20,0.001
Bangladesh,BGD,30-Mar-20,0.001
Bangladesh,BGD,31-Mar-20,0.002
Bangladesh,BGD,01-Apr-20,0.001
Bangladesh,BGD,02-Apr-20,0.001
Bangladesh,BGD,03-Apr-20,0.001
Bangladesh,BGD,04-Apr-20,0.003
Bangladesh,BGD,05-Apr-20,0.002
Bangladesh,BGD,06-Apr-20,0.004
Bangladesh,BGD,07-Apr-20,0.005
Bangladesh,BGD,08-Apr-20,0.006
Bangladesh,BGD,09-Apr-20,0.006
Bangladesh,BGD,10-Apr-20,0.007
Bangladesh,BGD,11-Apr-20,0.004
Bangladesh,BGD,12-Apr-20,0.008
Bangladesh,BGD,13-Apr-20,0.009
Bangladesh,BGD,14-Apr-20,0.011
Bangladesh,BGD,15-Apr-20,0.01
Bangladesh,BGD,16-Apr-20,0.013
Bangladesh,BGD,17-Apr-20,0.013
Bangladesh,BGD,18-Apr-20,0.012
Belgium,BEL,01-Mar-20,0.005
Belgium,BEL,02-Mar-20,0.024
Belgium,BEL,03-Mar-20,0.041
Belgium,BEL,04-Mar-20,0.055
Belgium,BEL,05-Mar-20,0.061
Belgium,BEL,06-Mar-20,0.087
Belgium,BEL,07-Mar-20,0.035
