"Date","State","fips","Cases","Deaths","Cases_daily","Deaths_daily"
2020-03-19,"Alabama","01",78,0,27,0
2020-03-18,"Alabama","01",51,0,12,0
2020-03-17,"Alabama","01",39,0,10,0
2020-03-16,"Alabama","01",29,0,6,0
2020-03-15,"Alabama","01",23,0,11,0
2020-03-14,"Alabama","01",12,0,6,0
2020-03-13,"Alabama","01",6,0,6,0
2020-05-15,"Alaska","02",388,8,1,0
2020-05-14,"Alaska","02",387,8,4,0
2020-05-13,"Alaska","02",383,8,0,0
2020-05-12,"Alaska","02",383,8,3,0
2020-05-11,"Alaska","02",380,8,2,0
2020-05-10,"Alaska","02",378,8,1,0
2020-05-09,"Alaska","02",377,8,1,0
2020-05-08,"Alaska","02",376,8,3,0
2020-05-07,"Alaska","02",373,8,3,0
2020-05-06,"Alaska","02",370,8,1,1
2020-05-05,"Alaska","02",369,7,1,0
2020-05-04,"Alaska","02",368,7,2,0
2020-05-03,"Alaska","02",366,7,3,0
2020-05-02,"Alaska","02",363,7,1,0
2020-05-01,"Alaska","02",362,7,9,0
2020-04-30,"Alaska","02",353,7,0,0
2020-04-29,"Alaska","02",353,7,4,0
2020-04-28,"Alaska","02",349,7,6,0
2020-04-27,"Alaska","02",343,7,4,0
2020-04-26,"Alaska","02",339,7,2,0
2020-04-25,"Alaska","02",337,7,0,0
2020-04-24,"Alaska","02",337,7,2,0
2020-04-23,"Alaska","02",335,7,2,0
2020-04-22,"Alaska","02",333,7,6,0
2020-04-21,"Alaska","02",327,7,8,0
2020-04-20,"Alaska","02",319,7,2,0
2020-04-19,"Alaska","02",317,7,5,0
2020-04-18,"Alaska","02",312,7,5,0
2020-04-17,"Alaska","02",307,7,9,0
2020-04-16,"Alaska","02",298,7,7,0
2020-04-15,"Alaska","02",291,7,8,0
2020-04-14,"Alaska","02",283,7,8,1
2020-04-13,"Alaska","02",275,6,5,0
2020-04-12,"Alaska","02",270,6,15,0
2020-04-11,"Alaska","02",255,6,11,1
2020-04-10,"Alaska","02",244,5,11,0
2020-04-09,"Alaska","02",233,5,9,0
2020-04-08,"Alaska","02",224,5,13,1
2020-04-07,"Alaska","02",211,4,22,0
2020-04-06,"Alaska","02",189,4,6,0
2020-04-05,"Alaska","02",183,4,14,1
2020-04-04,"Alaska","02",169,3,13,1
2020-04-03,"Alaska","02",156,2,10,0
2020-04-02,"Alaska","02",146,2,3,0
2020-04-01,"Alaska","02",143,2,10,0
2020-03-31,"Alaska","02",133,2,14,0
2020-03-30,"Alaska","02",119,2,5,1
2020-03-29,"Alaska","02",114,1,12,0
2020-03-28,"Alaska","02",102,1,17,0
2020-03-27,"Alaska","02",85,1,16,1
2020-03-26,"Alaska","02",69,0,10,0
2020-03-25,"Alaska","02",59,0,17,0
2020-03-24,"Alaska","02",42,0,6,0
2020-03-23,"Alaska","02",36,0,14,0
2020-03-22,"Alaska","02",22,0,1,0
2020-03-21,"Alaska","02",21,0,7,0
2020-03-20,"Alaska","02",14,0,2,0
2020-03-19,"Alaska","02",12,0,3,0
2020-03-18,"Alaska","02",9,0,3,0
2020-03-17,"Alaska","02",6,0,3,0
2020-03-16,"Alaska","02",3,0,2,0
2020-03-15,"Alaska","02",1,0,0,0
2020-03-14,"Alaska","02",1,0,0,0
2020-03-13,"Alaska","02",1,0,0,0
2020-03-12,"Alaska","02",1,0,1,0
2020-05-15,"Arizona","04",13169,651,495,27
2020-05-14,"Arizona","04",12674,624,498,30
2020-05-13,"Arizona","04",12176,594,440,32
2020-05-12,"Arizona","04",11736,562,356,20
2020-05-11,"Arizona","04",11380,542,261,6
2020-05-10,"Arizona","04",11119,536,159,4
2020-05-09,"Arizona","04",10960,532,434,15
2020-05-08,"Arizona","04",10526,517,581,67
2020-05-07,"Arizona","04",9945,450,238,24
2020-05-06,"Arizona","04",9707,426,402,31
2020-05-05,"Arizona","04",9305,395,386,33
2020-05-04,"Arizona","04",8919,362,279,0
2020-05-03,"Arizona","04",8640,362,276,9
2020-05-02,"Arizona","04",8364,353,402,23
2020-05-01,"Arizona","04",7962,330,314,10
2020-04-30,"Arizona","04",7648,320,446,12
2020-04-29,"Arizona","04",7202,308,254,11
2020-04-28,"Arizona","04",6948,297,232,20
2020-04-27,"Arizona","04",6716,277,190,0
2020-04-26,"Arizona","04",6526,277,246,2
2020-04-25,"Arizona","04",6280,275,235,7
2020-04-24,"Arizona","04",6045,268,276,11
2020-04-23,"Arizona","04",5769,257,310,21
2020-04-22,"Arizona","04",5459,236,208,23
2020-04-21,"Arizona","04",5251,213,187,22
2020-04-20,"Arizona","04",5064,191,135,3
2020-04-19,"Arizona","04",4929,188,210,7
2020-04-18,"Arizona","04",4719,181,212,7
2020-04-17,"Arizona","04",4507,174,273,22
2020-04-16,"Arizona","04",4234,152,272,10
2020-04-15,"Arizona","04",3962,142,156,11
2020-04-14,"Arizona","04",3806,131,104,9
2020-04-13,"Arizona","04",3702,122,163,5
2020-04-12,"Arizona","04",3539,117,146,5
2020-04-11,"Arizona","04",3393,112,281,15
2020-04-10,"Arizona","04",3112,97,94,8
2020-04-09,"Arizona","04",3018,89,292,9
2020-04-08,"Arizona","04",2726,80,151,3
2020-04-07,"Arizona","04",2575,77,110,10
2020-04-06,"Arizona","04",2465,67,196,3
2020-04-05,"Arizona","04",2269,64,250,11
2020-04-04,"Arizona","04",2019,53,250,12
2020-04-03,"Arizona","04",1769,41,169,6
2020-04-02,"Arizona","04",1600,35,187,6
2020-04-01,"Arizona","04",1413,29,115,5
2020-03-31,"Arizona","04",1298,24,129,4
2020-03-30,"Arizona","04",1169,20,240,2
2020-03-29,"Arizona","04",929,18,156,3
2020-03-28,"Arizona","04",773,15,108,0
2020-03-27,"Arizona","04",665,15,157,7
2020-03-26,"Arizona","04",508,8,106,2
2020-03-25,"Arizona","04",402,6,76,0
2020-03-24,"Arizona","04",326,6,92,4
2020-03-23,"Arizona","04",234,2,81,0
2020-03-22,"Arizona","04",153,2,49,1
2020-03-21,"Arizona","04",104,1,34,0
2020-03-20,"Arizona","04",70,1,23,1
2020-03-19,"Arizona","04",47,0,19,0
2020-03-18,"Arizona","04",28,0,8,0
2020-03-17,"Arizona","04",20,0,2,0
2020-03-16,"Arizona","04",18,0,5,0
2020-03-15,"Arizona","04",13,0,1,0
2020-03-14,"Arizona","04",12,0,3,0
2020-03-13,"Arizona","04",9,0,0,0
2020-03-12,"Arizona","04",9,0,0,0
2020-03-11,"Arizona","04",9,0,3,0
2020-03-10,"Arizona","04",6,0,0,0
2020-03-09,"Arizona","04",6,0,1,0
2020-03-08,"Arizona","04",5,0,0,0
2020-03-07,"Arizona","04",5,0,2,0
2020-03-06,"Arizona","04",3,0,1,0
2020-03-05,"Arizona","04",2,0,0,0
2020-03-04,"Arizona","04",2,0,0,0
2020-03-03,"Arizona","04",2,0,1,0
2020-03-02,"Arizona","04",1,0,0,0
2020-03-01,"Arizona","04",1,0,0,0
2020-02-29,"Arizona","04",1,0,0,0
2020-02-28,"Arizona","04",1,0,0,0
2020-02-27,"Arizona","04",1,0,0,0
2020-02-26,"Arizona","04",1,0,0,0
2020-02-25,"Arizona","04",1,0,0,0
2020-02-24,"Arizona","04",1,0,0,0
2020-02-23,"Arizona","04",1,0,0,0
2020-02-22,"Arizona","04",1,0,0,0
2020-02-21,"Arizona","04",1,0,0,0
2020-02-20,"Arizona","04",1,0,0,0
2020-02-19,"Arizona","04",1,0,0,0
2020-02-18,"Arizona","04",1,0,0,0
2020-02-17,"Arizona","04",1,0,0,0
2020-02-16,"Arizona","04",1,0,0,0
2020-02-15,"Arizona","04",1,0,0,0
2020-02-14,"Arizona","04",1,0,0,0
2020-02-13,"Arizona","04",1,0,0,0
2020-02-12,"Arizona","04",1,0,0,0
2020-02-11,"Arizona","04",1,0,0,0
2020-02-10,"Arizona","04",1,0,0,0
2020-02-09,"Arizona","04",1,0,0,0
2020-02-08,"Arizona","04",1,0,0,0
2020-02-07,"Arizona","04",1,0,0,0
2020-02-06,"Arizona","04",1,0,0,0
2020-02-05,"Arizona","04",1,0,0,0
2020-02-04,"Arizona","04",1,0,0,0
2020-02-03,"Arizona","04",1,0,0,0
2020-02-02,"Arizona","04",1,0,0,0
2020-02-01,"Arizona","04",1,0,0,0
2020-01-31,"Arizona","04",1,0,0,0
2020-01-30,"Arizona","04",1,0,0,0
2020-01-29,"Arizona","04",1,0,0,0
2020-01-28,"Arizona","04",1,0,0,0
2020-01-27,"Arizona","04",1,0,0,0
2020-01-26,"Arizona","04",1,0,1,0
2020-05-15,"Arkansas","05",4463,98,97,0
2020-05-14,"Arkansas","05",4366,98,130,1
2020-05-13,"Arkansas","05",4236,97,72,2
2020-05-12,"Arkansas","05",4164,95,121,1
2020-05-11,"Arkansas","05",4043,94,31,3
2020-05-10,"Arkansas","05",4012,91,265,3
2020-05-09,"Arkansas","05",3747,88,0,0
2020-05-08,"Arkansas","05",3747,88,53,0
2020-05-07,"Arkansas","05",3694,88,83,1
2020-05-06,"Arkansas","05",3611,87,86,4
2020-05-05,"Arkansas","05",3525,83,56,3
2020-05-04,"Arkansas","05",3469,80,38,4
2020-05-03,"Arkansas","05",3431,76,59,4
2020-05-02,"Arkansas","05",3372,72,62,8
2020-05-01,"Arkansas","05",3310,64,29,3
2020-04-30,"Arkansas","05",3281,61,74,2
2020-04-29,"Arkansas","05",3207,59,80,2
2020-04-28,"Arkansas","05",3127,57,58,6
2020-04-27,"Arkansas","05",3069,51,68,1
2020-04-26,"Arkansas","05",3001,50,92,2
2020-04-25,"Arkansas","05",2909,48,99,1
2020-04-24,"Arkansas","05",2810,47,211,2
2020-04-23,"Arkansas","05",2599,45,207,1
2020-04-22,"Arkansas","05",2392,44,130,1
2020-04-21,"Arkansas","05",2262,43,291,1
2020-04-20,"Arkansas","05",1971,42,190,3
2020-04-19,"Arkansas","05",1781,39,4,1
2020-04-18,"Arkansas","05",1777,38,82,1
2020-04-17,"Arkansas","05",1695,37,75,0
2020-04-16,"Arkansas","05",1620,37,21,3
2020-04-15,"Arkansas","05",1599,34,101,2
2020-04-14,"Arkansas","05",1498,32,23,2
2020-04-13,"Arkansas","05",1475,30,195,3
2020-04-12,"Arkansas","05",1280,27,52,2
2020-04-11,"Arkansas","05",1228,25,26,1
2020-04-10,"Arkansas","05",1202,24,56,3
2020-04-09,"Arkansas","05",1146,21,69,3
2020-04-08,"Arkansas","05",1077,18,80,0
2020-04-07,"Arkansas","05",997,18,70,2
2020-04-06,"Arkansas","05",927,16,74,0
2020-04-05,"Arkansas","05",853,16,110,2
2020-04-04,"Arkansas","05",743,14,5,2
2020-04-03,"Arkansas","05",738,12,55,0
2020-04-02,"Arkansas","05",683,12,59,2
2020-04-01,"Arkansas","05",624,10,60,2
2020-03-31,"Arkansas","05",564,8,56,1
2020-03-30,"Arkansas","05",508,7,59,1
2020-03-29,"Arkansas","05",449,6,40,1
2020-03-28,"Arkansas","05",409,5,24,2
2020-03-27,"Arkansas","05",385,3,35,0
2020-03-26,"Arkansas","05",350,3,43,1
2020-03-25,"Arkansas","05",307,2,76,0
2020-03-24,"Arkansas","05",231,2,30,2
2020-03-23,"Arkansas","05",201,0,36,0
2020-03-22,"Arkansas","05",165,0,47,0
2020-03-21,"Arkansas","05",118,0,18,0
2020-03-20,"Arkansas","05",100,0,38,0
2020-03-19,"Arkansas","05",62,0,29,0
2020-03-18,"Arkansas","05",33,0,11,0
2020-03-17,"Arkansas","05",22,0,0,0
2020-03-16,"Arkansas","05",22,0,6,0
2020-03-15,"Arkansas","05",16,0,7,0
2020-03-14,"Arkansas","05",9,0,2,0
2020-03-13,"Arkansas","05",7,0,1,0
2020-03-12,"Arkansas","05",6,0,5,0
2020-03-11,"Arkansas","05",1,0,1,0
2020-05-15,"California","06",77015,3192,2068,153
2020-05-14,"California","06",74947,3039,1729,25
2020-05-13,"California","06",73218,3014,2068,112
2020-05-12,"California","06",71150,2902,1636,82
2020-05-11,"California","06",69514,2820,1463,51
2020-05-10,"California","06",68051,2769,1227,37
2020-05-09,"California","06",66824,2732,2208,82
2020-05-08,"California","06",64616,2650,2135,89
2020-05-07,"California","06",62481,2561,1694,83
2020-05-06,"California","06",60787,2478,1939,92
2020-05-05,"California","06",58848,2386,2515,89
2020-05-04,"California","06",56333,2297,1261,62
2020-05-03,"California","06",55072,2235,1319,22
2020-05-02,"California","06",53753,2213,1435,66
2020-05-01,"California","06",52318,2147,1848,90
2020-04-30,"California","06",50470,2057,1566,96
2020-04-29,"California","06",48904,1961,2334,77
2020-04-28,"California","06",46570,1884,1362,84
2020-04-27,"California","06",45208,1800,1517,84
2020-04-26,"California","06",43691,1716,1101,24
2020-04-25,"California","06",42590,1692,1222,73
2020-04-24,"California","06",41368,1619,1834,71
2020-04-23,"California","06",39534,1548,1961,123
2020-04-22,"California","06",37573,1425,1729,109
2020-04-21,"California","06",35844,1316,1982,93
2020-04-20,"California","06",33862,1223,2318,47
2020-04-19,"California","06",31544,1176,715,30
2020-04-18,"California","06",30829,1146,1431,96
2020-04-17,"California","06",29398,1050,1256,79
2020-04-16,"California","06",28142,971,1035,86
2020-04-15,"California","06",27107,885,1349,107
2020-04-14,"California","06",25758,778,1424,53
2020-04-13,"California","06",24334,725,1011,49
2020-04-12,"California","06",23323,676,902,44
2020-04-11,"California","06",22421,632,1055,38
2020-04-10,"California","06",21366,594,1175,46
2020-04-09,"California","06",20191,548,1148,42
2020-04-08,"California","06",19043,506,1503,59
2020-04-07,"California","06",17540,447,1256,61
2020-04-06,"California","06",16284,386,1208,37
2020-04-05,"California","06",15076,349,1280,26
2020-04-04,"California","06",13796,323,1227,41
2020-04-03,"California","06",12569,282,1379,35
2020-04-02,"California","06",11190,247,1374,35
2020-04-01,"California","06",9816,212,1234,29
2020-03-31,"California","06",8582,183,1161,37
2020-03-30,"California","06",7421,146,1155,16
2020-03-29,"California","06",6266,130,701,9
2020-03-28,"California","06",5565,121,651,19
2020-03-27,"California","06",4914,102,854,20
2020-03-26,"California","06",4060,82,877,15
2020-03-25,"California","06",3183,67,539,15
2020-03-24,"California","06",2644,52,404,13
2020-03-23,"California","06",2240,39,389,4
2020-03-22,"California","06",1851,35,307,7
2020-03-21,"California","06",1544,28,261,4
2020-03-20,"California","06",1283,24,216,5
2020-03-19,"California","06",1067,19,174,2
2020-03-18,"California","06",893,17,161,3
2020-03-17,"California","06",732,14,144,3
2020-03-16,"California","06",588,11,110,5
2020-03-15,"California","06",478,6,97,1
2020-03-14,"California","06",381,5,61,0
2020-03-13,"California","06",320,5,68,1
2020-03-12,"California","06",252,4,50,0
2020-03-11,"California","06",202,4,23,1
2020-03-10,"California","06",179,3,7,1
2020-03-09,"California","06",172,2,60,1
2020-03-08,"California","06",112,1,12,0
2020-03-07,"California","06",100,1,19,0
2020-03-06,"California","06",81,1,14,0
2020-03-05,"California","06",67,1,12,0
2020-03-04,"California","06",55,1,10,1
2020-03-03,"California","06",45,0,7,0
2020-03-02,"California","06",38,0,5,0
2020-03-01,"California","06",33,0,5,0
2020-02-29,"California","06",28,0,1,0
2020-02-28,"California","06",27,0,1,0
2020-02-27,"California","06",26,0,0,0
2020-02-26,"California","06",26,0,15,0
2020-02-25,"California","06",11,0,0,0
2020-02-24,"California","06",11,0,2,0
2020-02-23,"California","06",9,0,0,0
2020-02-22,"California","06",9,0,0,0
2020-02-21,"California","06",9,0,1,0
2020-02-20,"California","06",8,0,1,0
2020-02-19,"California","06",7,0,0,0
2020-02-18,"California","06",7,0,0,0
2020-02-17,"California","06",7,0,0,0
2020-02-16,"California","06",7,0,0,0
2020-02-15,"California","06",7,0,0,0
2020-02-14,"California","06",7,0,0,0
2020-02-13,"California","06",7,0,0,0
2020-02-12,"California","06",7,0,0,0
2020-02-11,"California","06",7,0,0,0
2020-02-10,"California","06",7,0,1,0
2020-02-09,"California","06",6,0,0,0
2020-02-08,"California","06",6,0,0,0
2020-02-07,"California","06",6,0,0,0
2020-02-06,"California","06",6,0,0,0
2020-02-05,"California","06",6,0,0,0
2020-02-04,"California","06",6,0,0,0
2020-02-03,"California","06",6,0,0,0
2020-02-02,"California","06",6,0,3,0
2020-02-01,"California","06",3,0,0,0
2020-01-31,"California","06",3,0,1,0
2020-01-30,"California","06",2,0,0,0
2020-01-29,"California","06",2,0,0,0
2020-01-28,"California","06",2,0,0,0
2020-01-27,"California","06",2,0,0,0
2020-01-26,"California","06",2,0,1,0
2020-01-25,"California","06",1,0,1,0
2020-05-15,"Colorado","08",21207,1150,394,59
2020-05-14,"Colorado","08",20813,1091,371,29
2020-05-13,"Colorado","08",20442,1062,339,53
2020-05-12,"Colorado","08",20103,1009,310,23
2020-05-11,"Colorado","08",19793,986,198,17
2020-05-10,"Colorado","08",19595,969,328,4
2020-05-09,"Colorado","08",19267,965,548,7
2020-05-08,"Colorado","08",18719,958,455,16
2020-05-07,"Colorado","08",18264,942,544,23
2020-05-06,"Colorado","08",17720,919,464,18
2020-05-05,"Colorado","08",17256,901,457,52
2020-05-04,"Colorado","08",16799,849,272,9
2020-05-03,"Colorado","08",16527,840,409,10
2020-05-02,"Colorado","08",16118,830,457,12
2020-05-01,"Colorado","08",15661,818,454,43
2020-04-30,"Colorado","08",15207,775,527,11
2020-04-29,"Colorado","08",14680,764,441,30
2020-04-28,"Colorado","08",14239,734,435,29
2020-04-27,"Colorado","08",13804,705,364,27
2020-04-26,"Colorado","08",13440,678,473,8
2020-04-25,"Colorado","08",12967,670,712,-2
2020-04-24,"Colorado","08",12255,672,993,115
2020-04-23,"Colorado","08",11262,557,384,31
2020-04-22,"Colorado","08",10878,526,431,42
2020-04-21,"Colorado","08",10447,484,341,36
2020-04-20,"Colorado","08",10106,448,376,27
2020-04-19,"Colorado","08",9730,421,297,12
2020-04-18,"Colorado","08",9433,409,386,20
2020-04-17,"Colorado","08",9047,389,372,15
2020-04-16,"Colorado","08",8675,374,395,19
2020-04-15,"Colorado","08",8280,355,339,26
2020-04-14,"Colorado","08",7941,329,250,21
2020-04-13,"Colorado","08",7691,308,388,18
2020-04-12,"Colorado","08",7303,290,410,16
2020-04-11,"Colorado","08",6893,274,383,21
2020-04-10,"Colorado","08",6510,253,308,26
2020-04-09,"Colorado","08",6202,227,547,35
2020-04-08,"Colorado","08",5655,192,226,13
2020-04-07,"Colorado","08",5429,179,257,29
2020-04-06,"Colorado","08",5172,150,222,10
2020-04-05,"Colorado","08",4950,140,376,14
2020-04-04,"Colorado","08",4574,126,392,16
2020-04-03,"Colorado","08",4182,110,454,14
2020-04-02,"Colorado","08",3728,96,382,16
2020-04-01,"Colorado","08",3346,80,356,11
2020-03-31,"Colorado","08",2990,69,362,18
2020-03-30,"Colorado","08",2628,51,313,4
2020-03-29,"Colorado","08",2315,47,254,3
2020-03-28,"Colorado","08",2061,44,326,13
2020-03-27,"Colorado","08",1735,31,303,7
2020-03-26,"Colorado","08",1432,24,346,5
2020-03-25,"Colorado","08",1086,19,174,8
2020-03-24,"Colorado","08",912,11,191,1
2020-03-23,"Colorado","08",721,10,130,3
2020-03-22,"Colorado","08",591,7,116,1
2020-03-21,"Colorado","08",475,6,111,1
2020-03-20,"Colorado","08",364,5,86,0
2020-03-19,"Colorado","08",278,5,62,2
2020-03-18,"Colorado","08",216,3,33,0
2020-03-17,"Colorado","08",183,3,22,1
2020-03-16,"Colorado","08",161,2,25,0
2020-03-15,"Colorado","08",136,2,33,0
2020-03-14,"Colorado","08",103,2,25,0
2020-03-13,"Colorado","08",78,2,29,1
2020-03-12,"Colorado","08",49,1,15,1
2020-03-11,"Colorado","08",34,0,17,0
2020-03-10,"Colorado","08",17,0,5,0
2020-03-09,"Colorado","08",12,0,4,0
2020-03-08,"Colorado","08",8,0,0,0
2020-03-07,"Colorado","08",8,0,0,0
2020-03-06,"Colorado","08",8,0,6,0
2020-03-05,"Colorado","08",2,0,2,0
2020-05-15,"Connecticut","09",36085,3285,621,66
2020-05-14,"Connecticut","09",35464,3219,609,94
2020-05-13,"Connecticut","09",34855,3125,522,84
2020-05-12,"Connecticut","09",34333,3041,568,33
2020-05-11,"Connecticut","09",33765,3008,211,41
2020-05-10,"Connecticut","09",33554,2967,570,35
2020-05-09,"Connecticut","09",32984,2932,573,58
2020-05-08,"Connecticut","09",32411,2874,627,77
2020-05-07,"Connecticut","09",31784,2797,789,79
2020-05-06,"Connecticut","09",30995,2718,374,85
2020-05-05,"Connecticut","09",30621,2633,648,77
2020-05-04,"Connecticut","09",29973,2556,686,120
2020-05-03,"Connecticut","09",29287,2436,0,0
2020-05-02,"Connecticut","09",29287,2436,523,97
2020-05-01,"Connecticut","09",28764,2339,1064,82
2020-04-30,"Connecticut","09",27700,2257,933,89
2020-04-29,"Connecticut","09",26767,2168,455,79
2020-04-28,"Connecticut","09",26312,2089,315,77
2020-04-27,"Connecticut","09",25997,2012,728,87
2020-04-26,"Connecticut","09",25269,1925,687,63
2020-04-25,"Connecticut","09",24582,1862,661,98
2020-04-24,"Connecticut","09",23921,1764,821,125
2020-04-23,"Connecticut","09",23100,1639,631,95
2020-04-22,"Connecticut","09",22469,1544,2109,121
2020-04-21,"Connecticut","09",20360,1423,545,92
2020-04-20,"Connecticut","09",19815,1331,1853,204
2020-04-19,"Connecticut","09",17962,1127,412,41
2020-04-18,"Connecticut","09",17550,1086,741,50
2020-04-17,"Connecticut","09",16809,1036,925,65
2020-04-16,"Connecticut","09",15884,971,1129,103
2020-04-15,"Connecticut","09",14755,868,766,197
2020-04-14,"Connecticut","09",13989,671,608,69
2020-04-13,"Connecticut","09",13381,602,1346,48
2020-04-12,"Connecticut","09",12035,554,525,60
2020-04-11,"Connecticut","09",11510,494,972,46
2020-04-10,"Connecticut","09",10538,448,754,68
2020-04-09,"Connecticut","09",9784,380,1003,45
2020-04-08,"Connecticut","09",8781,335,1000,58
2020-04-07,"Connecticut","09",7781,277,875,71
2020-04-06,"Connecticut","09",6906,206,1231,17
2020-04-05,"Connecticut","09",5675,189,399,24
2020-04-04,"Connecticut","09",5276,165,361,33
2020-04-03,"Connecticut","09",4915,132,1091,20
2020-04-02,"Connecticut","09",3824,112,267,27
2020-04-01,"Connecticut","09",3557,85,429,16
2020-03-31,"Connecticut","09",3128,69,557,33
2020-03-30,"Connecticut","09",2571,36,578,2
2020-03-29,"Connecticut","09",1993,34,469,1
2020-03-28,"Connecticut","09",1524,33,233,6
2020-03-27,"Connecticut","09",1291,27,279,6
2020-03-26,"Connecticut","09",1012,21,137,2
2020-03-25,"Connecticut","09",875,19,257,7
2020-03-24,"Connecticut","09",618,12,203,2
2020-03-23,"Connecticut","09",415,10,88,2
2020-03-22,"Connecticut","09",327,8,104,3
2020-03-21,"Connecticut","09",223,5,29,1
2020-03-20,"Connecticut","09",194,4,35,0
2020-03-19,"Connecticut","09",159,4,63,3
2020-03-18,"Connecticut","09",96,1,28,1
2020-03-17,"Connecticut","09",68,0,27,0
2020-03-16,"Connecticut","09",41,0,15,0
2020-03-15,"Connecticut","09",26,0,6,0
2020-03-14,"Connecticut","09",20,0,9,0
2020-03-13,"Connecticut","09",11,0,5,0
2020-03-12,"Connecticut","09",6,0,3,0
2020-03-11,"Connecticut","09",3,0,1,0
2020-03-10,"Connecticut","09",2,0,0,0
2020-03-09,"Connecticut","09",2,0,1,0
2020-03-08,"Connecticut","09",1,0,1,0
2020-05-15,"Delaware","10",7373,271,150,11
2020-05-14,"Delaware","10",7223,260,271,13
2020-05-13,"Delaware","10",6952,247,211,10
2020-05-12,"Delaware","10",6741,237,176,12
2020-05-11,"Delaware","10",6565,225,118,1
2020-05-10,"Delaware","10",6447,224,170,3
2020-05-09,"Delaware","10",6277,221,166,8
2020-05-08,"Delaware","10",6111,213,172,11
2020-05-07,"Delaware","10",5939,202,161,9
2020-05-06,"Delaware","10",5778,193,407,6
2020-05-05,"Delaware","10",5371,187,83,5
2020-05-04,"Delaware","10",5288,182,80,5
2020-05-03,"Delaware","10",5208,177,170,9
2020-05-02,"Delaware","10",5038,168,120,9
2020-05-01,"Delaware","10",4918,159,184,7
2020-04-30,"Delaware","10",4734,152,79,8
2020-04-29,"Delaware","10",4655,144,80,7
2020-04-28,"Delaware","10",4575,137,413,12
2020-04-27,"Delaware","10",4162,125,128,5
2020-04-26,"Delaware","10",4034,120,458,8
2020-04-25,"Delaware","10",3576,112,134,12
2020-04-24,"Delaware","10",3442,100,134,8
2020-04-23,"Delaware","10",3308,92,108,3
2020-04-22,"Delaware","10",3200,89,269,7
2020-04-21,"Delaware","10",2931,82,186,10
2020-04-20,"Delaware","10",2745,72,207,5
2020-04-19,"Delaware","10",2538,67,0,0
2020-04-18,"Delaware","10",2538,67,215,6
2020-04-17,"Delaware","10",2323,61,248,9
2020-04-16,"Delaware","10",2075,52,61,6
2020-04-15,"Delaware","10",2014,46,88,3
2020-04-14,"Delaware","10",1926,43,165,2
2020-04-13,"Delaware","10",1761,41,136,6
2020-04-12,"Delaware","10",1625,35,146,2
2020-04-11,"Delaware","10",1479,33,153,1
2020-04-10,"Delaware","10",1326,32,117,9
